timestamp(ns),elapsed(s)
1772084314555943627,0.00030641
1772084314689447627,0.000182019
1772084315223706627,0.000186575
1772084315490702627,0.000141517
1772084315591065627,0.000154519
1772084315624397627,9.7395e-05
1772084316091702627,8.904e-05
1772084316258712627,0.000235984
1772084316358919627,0.0001035
1772084316392211627,0.00019241
1772084316458970627,0.000331844
1772084316525704627,0.0001403
1772084316559093627,0.000165819
1772084316592752627,0.000155459
1772084316659358627,0.000134811
1772084316694838627,0.000171334
1772084316759473627,0.000171597
1772084316828249627,0.000431036
1772084316959867627,0.000282553
1772084317026593627,0.000264395
1772084317093578627,0.000178735
1772084317126721627,0.000225446
1772084317260217627,0.000215908
1772084317327087627,0.000348152
1772084317427259627,0.000315032
1772084317460579627,0.000301922
1772084317660968627,0.000293068
1772084317694339627,0.000125711
1772084317727724627,0.000328531
1772084318094961627,0.000142948
1772084318228454627,0.000297387
1772084318295349627,0.000294527
1772084318462236627,0.000299186
1772084318495599627,0.000293382
1772084318695971627,0.000243065
1772084318764708627,0.000240729
1772084318829474627,0.000263895
1772084318996479627,0.000431938
1772084319129990627,0.000137876
1772084319196727627,0.000119089
1772084319230226627,0.000190272
1772084319263489627,0.000184839
1772084319296856627,0.00019107
1772084319330366627,0.000405187
1772084319397116627,0.000350351
1772084319430464627,0.000214184
1772084319530605627,0.000531076
1772084319597438627,0.000338564
1772084319664097627,0.000244482
1772084319730977627,0.000160755
1772084319764370627,0.000126525
1772084319831123627,0.000215177
1772084320632410627,0.000117914
1772084320665743627,0.000119415
1772084320766012627,0.000169075
1772084320799364627,0.000352026
1772084320932866627,0.000203999
1772084320999619627,0.000263285
1772084321032989627,0.000391366
1772084321066498627,0.000263686
1772084321133242627,0.000183533
1772084321166618627,0.000189095
1772084321333498627,0.000121297
1772084321366892627,0.000123104
1772084321400360627,0.000611738
1772084321467121627,0.000321198
1772084321567245627,0.00034655
1772084321600625627,0.000179169
1772084321634134627,0.000210183
1772084321767615627,0.000380812
1772084321801014627,0.000336726
1772084321934495627,0.000199413
1772084322101502627,0.000154671
1772084322201631627,0.000440811
1772084322268369627,0.000252194
1772084322301756627,0.000282709
1772084322435374627,0.000601346
1772084322969467627,0.000171497
1772084323236643627,0.000440755
1772084323503771627,0.000600266
1772084323570514627,0.000148449
1772084323637260627,0.000417953
1772084323770781627,0.000251054
1772084323871033627,0.00024314
1772084323904372627,0.000289321
1772084323937764627,0.000270582
1772084323971136627,0.000251387
1772084324004505627,0.000223258
1772084324038030627,0.000229514
1772084324071289627,0.000181102
1772084324104637627,0.000222965
1772084324238267627,0.000268713
1772084324338395627,0.000248988
1772084324572146627,0.000154382
1772084324772466627,0.000282436
1772084324839280627,0.000349533
1772084324872646627,0.000174089
1772084324906029627,0.000218794
1772084325006150627,0.000520293
1772084325039531627,0.000215268
1772084325273274627,0.00023149
1772084325340022627,0.000299307
1772084325406900627,0.000314293
1772084325440165627,0.000313275
1772084325507030627,0.00025304
1772084325573790627,0.00027926
1772084325640530627,0.000498255
1772084325707275627,0.000461721
1772084325907664627,0.000324531
1772084325941042627,0.000341763
1772084325974414627,0.000605082
1772084326041170627,0.000169326
1772084326675538627,0.000186395
1772084326708931627,0.00016773
1772084326775797627,0.000232564
1772084326809047627,0.000228294
1772084326909295627,0.00030779
1772084326976054627,0.00028346
