timestamp(ns),elapsed(s)
1772084314555943627,0.000190566
1772084314689447627,2.473e-06
1772084315223706627,5.953e-06
1772084315490702627,1.52e-06
1772084315591065627,1.319e-06
1772084315624397627,1.007e-06
1772084316091702627,9.08e-07
1772084316258712627,1.896e-06
1772084316358919627,1.121e-06
1772084316392211627,1.046e-06
1772084316458970627,2.463e-06
1772084316525704627,3.456e-06
1772084316559093627,1.465e-06
1772084316592752627,1.29e-06
1772084316659358627,1.102e-06
1772084316694838627,1.741e-06
1772084316759473627,1.285e-06
1772084316828249627,3.021e-06
1772084316959867627,2.052e-06
1772084317026593627,6.105e-06
1772084317093578627,3.76e-06
1772084317126721627,2.096e-06
1772084317260217627,1.6e-06
1772084317327087627,2.1e-06
1772084317427259627,2.504e-06
1772084317460579627,2.488e-06
1772084317660968627,1.982e-06
1772084317694339627,4.293e-06
1772084317727724627,2.133e-06
1772084318094961627,1.28e-06
1772084318228454627,1.945e-06
1772084318295349627,2.922e-06
1772084318462236627,2.237e-06
1772084318495599627,2.628e-06
1772084318695971627,1.939e-06
1772084318764708627,1.804e-06
1772084318829474627,2.368e-06
1772084318996479627,2.838e-06
1772084319129990627,3.589e-06
1772084319196727627,1.068e-06
1772084319230226627,4.037e-06
1772084319263489627,1.389e-06
1772084319296856627,1.609e-06
1772084319330366627,3.981e-06
1772084319397116627,2.235e-06
1772084319430464627,1.423e-06
1772084319530605627,3.041e-06
1772084319597438627,2.4e-06
1772084319664097627,1.476e-06
1772084319730977627,9.0274e-05
1772084319764370627,1.147e-06
1772084319831123627,3.781e-06
1772084320632410627,1.158e-06
1772084320665743627,1.486e-06
1772084320766012627,5.6089e-05
1772084320799364627,3.329e-06
1772084320932866627,3.239e-06
1772084320999619627,2.158e-06
1772084321032989627,2.881e-06
1772084321066498627,2.673e-06
1772084321133242627,3.333e-06
1772084321166618627,1.583e-06
1772084321333498627,8.39e-07
1772084321366892627,5.49e-07
1772084321400360627,2.694e-06
1772084321467121627,3.997e-06
1772084321567245627,2.288e-06
1772084321600625627,1.306e-06
1772084321634134627,1.471e-06
1772084321767615627,4.459e-06
1772084321801014627,2.138e-06
1772084321934495627,1.504e-06
1772084322101502627,6.2004e-05
1772084322201631627,2.236e-06
1772084322268369627,1.6e-06
1772084322301756627,2.576e-06
1772084322435374627,3.473e-06
1772084322969467627,1.155e-06
1772084323236643627,1.897e-06
1772084323503771627,5.07e-06
1772084323570514627,1.19e-06
1772084323637260627,2.33e-06
1772084323770781627,1.812e-06
1772084323871033627,1.563e-06
1772084323904372627,1.424e-06
1772084323937764627,1.575e-06
1772084323971136627,1.279e-06
1772084324004505627,1.721e-06
1772084324038030627,1.571e-06
1772084324071289627,3.906e-06
1772084324104637627,3.714e-06
1772084324238267627,3.929e-06
1772084324338395627,1.853e-06
1772084324572146627,1.127e-06
1772084324772466627,3.611e-06
1772084324839280627,3.832e-06
1772084324872646627,4.044e-06
1772084324906029627,1.048e-06
1772084325006150627,2.588e-06
1772084325039531627,4.71e-06
1772084325273274627,3.611e-06
1772084325340022627,4.063e-06
1772084325406900627,2.604e-06
1772084325440165627,2.014e-06
1772084325507030627,1.661e-06
1772084325573790627,1.809e-06
1772084325640530627,2.522e-06
1772084325707275627,3.78e-06
1772084325907664627,1.732e-06
1772084325941042627,1.886e-06
1772084325974414627,2.702e-06
1772084326041170627,1.167e-06
1772084326675538627,1.258e-06
1772084326708931627,1.199e-06
1772084326775797627,2.0172e-05
1772084326809047627,1.096e-06
1772084326909295627,3.717e-06
1772084326976054627,1.523e-06
1772084327009417627,3.913e-06
1772084327042806627,1.021e-06
1772084327076172627,1.689e-06
