timestamp(ns),elapsed(s)
1772084314555943627,0.00018888
1772084314689447627,0.000157344
1772084315223706627,0.000578908
1772084315490702627,0.000196026
1772084315591065627,0.000188032
1772084315624397627,0.000117024
1772084316091702627,9.7561e-05
1772084316258712627,0.000258357
1772084316358919627,9.5864e-05
1772084316392211627,0.000181084
1772084316458970627,0.000350973
1772084316525704627,0.000127658
1772084316559093627,0.000214593
1772084316592752627,0.000169169
1772084316659358627,0.000111478
1772084316694838627,0.000171179
1772084316759473627,0.000155607
1772084316828249627,0.000304793
1772084316959867627,0.000307985
1772084317026593627,0.00018244
1772084317093578627,0.000174549
1772084317126721627,0.000218974
1772084317260217627,0.000244445
1772084317327087627,0.000211799
1772084317427259627,0.000336081
1772084317460579627,0.000325778
1772084317660968627,0.000312873
1772084317694339627,0.000137791
1772084317727724627,0.000369559
1772084318094961627,0.000159902
1772084318228454627,0.000368159
1772084318295349627,0.000350829
1772084318462236627,0.000296439
1772084318495599627,0.000473153
1772084318695971627,0.000327249
1772084318764708627,0.000294474
1772084318829474627,0.000283235
1772084318996479627,0.000408189
1772084319129990627,0.000168338
1772084319196727627,0.000135566
1772084319230226627,0.000191463
1772084319263489627,0.000228186
1772084319296856627,0.000216838
1772084319330366627,0.000181512
1772084319397116627,0.000399473
1772084319430464627,0.000229863
1772084319530605627,0.000664892
1772084319597438627,0.000255973
1772084319664097627,0.000138115
1772084319730977627,0.000175773
1772084319764370627,0.000146237
1772084319831123627,0.000222778
1772084320632410627,0.000219154
1772084320665743627,0.000139879
1772084320766012627,0.000191465
1772084320799364627,0.000310542
1772084320932866627,0.000157111
1772084320999619627,0.000395104
1772084321032989627,0.000514895
1772084321066498627,0.000288819
1772084321133242627,0.000179143
1772084321166618627,0.000279582
1772084321333498627,0.00012469
1772084321366892627,0.000114874
1772084321400360627,0.000332812
1772084321467121627,0.000369463
1772084321567245627,0.000435477
1772084321600625627,0.000268485
1772084321634134627,0.000253802
1772084321767615627,0.000502438
1772084321801014627,0.000367063
1772084321934495627,0.000403831
1772084322101502627,0.000187777
1772084322201631627,0.000490346
1772084322268369627,0.000175103
1772084322301756627,0.000410898
1772084322435374627,0.000720798
1772084322969467627,0.000206361
1772084323236643627,0.000494687
1772084323503771627,0.000699375
1772084323570514627,0.000192118
1772084323637260627,0.000484268
1772084323770781627,0.000499421
1772084323871033627,0.000315466
1772084323904372627,0.000276939
1772084323937764627,0.000277733
1772084323971136627,0.000285025
1772084324004505627,0.00030291
1772084324038030627,0.000340581
1772084324071289627,0.000198422
1772084324104637627,0.00022659
1772084324238267627,0.000335678
1772084324338395627,0.000299541
1772084324572146627,0.000188564
1772084324772466627,0.000314253
1772084324839280627,0.000258765
1772084324872646627,0.000195755
1772084324906029627,0.000246461
1772084325006150627,0.000648594
1772084325039531627,0.000224925
1772084325273274627,0.000211716
1772084325340022627,0.00033903
1772084325406900627,0.000200361
1772084325440165627,0.000419727
1772084325507030627,0.000334668
1772084325573790627,0.000320246
1772084325640530627,0.000579865
1772084325707275627,0.000507029
1772084325907664627,0.000396203
1772084325941042627,0.000439138
1772084325974414627,0.000683099
1772084326041170627,0.00022077
1772084326675538627,0.000249606
1772084326708931627,0.000215477
1772084326775797627,0.000239934
1772084326809047627,0.000232982
1772084326909295627,0.000467797
1772084326976054627,0.000322844
1772084327009417627,0.000198808
1772084327042806627,0.000195732
1772084327076172627,0.000365942
1772084327243173627,0.000407902
1772084327410063627,0.000416591
1772084327476920627,0.000422803
1772084327543549627,0.000324138
1772084327577054627,0.000264823
1772084327610426627,0.000193409
1772084327677166627,0.000202585
1772084327743922627,0.000490972
1772084327810797627,0.000255252
1772084327877431627,0.000369517
1772084327978195627,0.000394866
1772084328077856627,0.000351533
1772084328244801627,0.000772145
1772084328311550627,0.000196801
1772084328344923627,0.000256848
1772084328378312627,0.000202232
1772084328445058627,0.000209948
1772084328478704627,0.000327409
1772084328545261627,0.000207542
1772084328678822627,0.000273935
1772084328712198627,0.000391213
1772084328778938627,0.000457161
1772084328845818627,0.000228702
1772084328914365627,0.000358841
1772084329148356627,0.000494755
1772084329279820627,0.000601811
1772084329313192627,0.000229643
1772084329513758627,0.000596604
1772084329780567627,0.000350502
1772084329813971627,0.000465849
1772084329880814627,0.000265055
1772084330047692627,0.000424324
1772084330114443627,0.000715279
1772084330148198627,0.000252348
1772084330181196627,0.00037056
1772084330348203627,0.000421715
1772084330915702627,0.000377925
1772084331049335627,0.00037739
1772084331082711627,0.000238803
1772084331149454627,0.000239871
1772084331249703627,0.000235115
1772084331316323627,0.000343701
1772084331416588627,0.000248481
1772084331449952627,0.000270088
1772084331516703627,0.000292398
1772084331618013627,0.000487607
1772084331650209627,0.000300839
1772084331817203627,0.000257023
1772084331883956627,0.000396447
1772084331984083627,0.000242812
1772084332017585627,0.000398629
1772084332117715627,0.000435398
1772084332151098627,0.000295121
1772084332384838627,0.000454626
1772084332518349627,0.000289536
1772084332551719627,0.000474851
1772084332585108627,0.000476439
1772084332818842627,0.000307846
1772084333019096627,0.000314223
1772084333054254627,0.000283531
1772084333085982627,0.000506838
1772084333155302627,0.000491959
1772084333219471627,0.000499646
1772084333419844627,0.000438947
1772084333553365627,0.000304803
1772084333653618627,0.000292192
1772084333720221627,0.000306772
1772084333820486627,0.000332616
1772084333887227627,0.000312101
1772084333920600627,0.000430256
1772084334221121627,0.000473568
1772084334321347627,0.00030651
1772084334454842627,0.000467975
1772084334521607627,0.000308563
1772084334621737627,0.000334986
1772084334788735627,0.000355748
1772084334822106627,0.000328985
1772084334922247627,0.000334287
1772084334988991627,0.000358599
1772084335055733627,0.000355795
1772084335189355627,0.000341495
1772084335422987627,0.000605169
1772084335489861627,0.000628954
1772084335523252627,0.00048235
1772084335623361627,0.000429672
1772084335690243627,0.000332517
1772084335857131627,0.000547001
1772084335923868627,0.000369634
1772084336090744627,0.000509115
1772084336124237627,0.000569036
1772084336257753627,0.000344516
1772084336458000627,0.000472643
1772084336558262627,0.000330418
1772084336691733627,0.000380566
1772084336758518627,0.000518221
1772084336791875627,0.000335721
1772084336892100627,0.000386656
1772084336958870627,0.000522715
1772084337059158627,0.000375607
1772084337094100627,0.000558161
1772084337192682627,0.000437052
1772084337226009627,0.000335748
1772084337259375627,0.000602596
1772084337326170627,0.000791735
1772084337426256627,0.000373903
1772084337493038627,0.000552095
1772084337559879627,0.000567344
1772084337660006627,0.000350157
1772084337693383627,0.0004018
1772084337726759627,0.000364602
1772084337827467627,0.000333888
1772084337860378627,0.000357136
1772084337893763627,0.000364106
1772084337960513627,0.000355159
1772084338060632627,0.000381683
1772084338094157627,0.000532087
1772084338128643627,0.000350985
1772084338194260627,0.000352494
1772084338227642627,0.000594397
1772084338294382627,0.000563712
1772084338327768627,0.000363848
1772084338461244627,0.000364655
1772084338494640627,0.000525867
1772084338594959627,0.000562511
1772084338628265627,0.000511355
1772084338695024627,0.000388997
1772084338728389627,0.000534236
1772084338761758627,0.000447483
1772084338828509627,0.000548881
1772084338995527627,0.000772081
1772084339028888627,0.000364204
1772084339063894627,0.00050629
1772084339262719627,0.000399069
1772084339396161627,0.00057253
1772084339529644627,0.000574237
1772084340431179627,0.000363513
1772084340498027627,0.000386469
1772084340698274627,0.000381252
1772084340798404627,0.000469252
1772084340865163627,0.000377643
1772084341032175627,0.000729298
1772084341065546627,0.000490755
1772084341133698627,0.000381971
1772084341165795627,0.000355206
1772084341199042627,0.000374682
1772084341232407627,0.000358676
1772084341499535627,0.000502289
1772084341568499627,0.000489061
1772084341599675627,0.000450933
1772084341699945627,0.000376981
1772084341800042627,0.000630192
1772084342067186627,0.000548732
1772084342768303627,0.000599383
1772084342935177627,0.00041689
1772084343035436627,0.000391066
1772084343102160627,0.000406329
1772084343335941627,0.00051374
1772084343436060627,0.000558027
1772084343569689627,0.000371232
1772084343636322627,0.000329502
1772084343669817627,0.000403802
1772084343836689627,0.00058923
1772084343937022627,0.000354495
1772084344003567627,0.000485009
1772084344037061627,0.000608699
1772084344203942627,0.00055584
1772084344270810627,0.000338995
1772084344337424627,0.000385143
1772084344404315627,0.00088752
1772084344437692627,0.00037513
1772084344905075627,0.00048968
1772084345005178627,0.000559134
1772084345038718627,0.000511464
1772084345273576627,0.000408064
1772084345606211627,0.000553899
1772084345674507627,0.000366845
1772084345706344627,0.000349603
1772084345839992627,0.000403541
1772084345873335627,0.000465271
1772084345907082627,0.00059656
1772084345940078627,0.00035844
1772084346074523627,0.000636586
1772084346207212627,0.000585022
1772084346240577627,0.000411266
1772084346307459627,0.000558538
1772084346340702627,0.00057737
1772084346607840627,0.000890233
1772084346774843627,0.00049548
1772084347175466627,0.000567966
1772084347208854627,0.000576351
1772084347242208627,0.000791832
