timestamp(ns),elapsed(s)
1772084314555943627,0.000327352
1772084314689447627,1.0428e-05
1772084315223706627,8.803e-06
1772084315490702627,7.647e-06
1772084315591065627,0.00012665
1772084315624397627,1.9517e-05
1772084316091702627,5.29e-06
1772084316258712627,9.389e-06
1772084316358919627,7.656e-06
1772084316392211627,5.209e-06
1772084316458970627,1.0933e-05
1772084316525704627,8.272e-06
1772084316559093627,6.682e-06
1772084316592752627,0.000114849
1772084316659358627,6.991e-06
1772084316694838627,9.499e-06
1772084316759473627,8.176e-06
1772084316828249627,1.4401e-05
1772084316959867627,1.2552e-05
1772084317026593627,1.059e-05
1772084317093578627,9.487e-06
1772084317126721627,1.0837e-05
1772084317260217627,9.841e-06
1772084317327087627,1.2202e-05
1772084317427259627,9.679e-06
1772084317460579627,1.0563e-05
1772084317660968627,0.000255126
1772084317694339627,1.0069e-05
1772084317727724627,1.4482e-05
1772084318094961627,8.301e-06
1772084318228454627,1.5205e-05
1772084318295349627,1.43e-05
1772084318462236627,1.6199e-05
1772084318495599627,1.528e-05
1772084318695971627,0.000126881
1772084318764708627,8.267e-06
1772084318829474627,1.2777e-05
1772084318996479627,2.5312e-05
1772084319129990627,8.364e-06
1772084319196727627,8.24e-06
1772084319230226627,9.191e-06
1772084319263489627,1.2237e-05
1772084319296856627,9.411e-06
1772084319330366627,9.839e-06
1772084319397116627,1.6983e-05
1772084319430464627,6.677e-06
1772084319530605627,1.7087e-05
1772084319597438627,1.2825e-05
1772084319664097627,7.779e-06
1772084319730977627,9.0274e-05
1772084319764370627,6.974e-06
1772084319831123627,8.67e-06
1772084320632410627,6.393e-06
1772084320665743627,7.277e-06
1772084320766012627,0.000115639
1772084320799364627,1.6109e-05
1772084320932866627,7.814e-06
1772084320999619627,1.1319e-05
1772084321032989627,1.6879e-05
1772084321066498627,1.118e-05
1772084321133242627,7.809e-06
1772084321166618627,8.249e-06
1772084321333498627,4.505e-06
1772084321366892627,2.885e-06
1772084321400360627,1.699e-05
1772084321467121627,1.2825e-05
1772084321567245627,1.2712e-05
1772084321600625627,6.828e-06
1772084321634134627,1.0696e-05
1772084321767615627,0.000182746
1772084321801014627,1.0431e-05
1772084321934495627,6.409e-06
1772084322101502627,6.157e-06
1772084322201631627,1.3766e-05
1772084322268369627,6.915e-06
1772084322301756627,1.1094e-05
1772084322435374627,1.6894e-05
1772084322969467627,0.000109061
1772084323236643627,9.382e-06
1772084323503771627,1.2386e-05
1772084323570514627,6.662e-06
1772084323637260627,1.0346e-05
1772084323770781627,1.6782e-05
1772084323871033627,7.685e-06
1772084323904372627,6.445e-06
1772084323937764627,8.405e-06
1772084323971136627,0.000178259
1772084324004505627,8.692e-06
1772084324038030627,8.154e-06
1772084324071289627,1.7274e-05
1772084324104637627,5.91e-06
1772084324238267627,1.1587e-05
1772084324338395627,1.2251e-05
1772084324572146627,7.718e-06
1772084324772466627,1.1301e-05
1772084324839280627,9.482e-06
1772084324872646627,8.197e-06
1772084324906029627,7.549e-06
1772084325006150627,0.000312756
1772084325039531627,8.442e-06
1772084325273274627,7.922e-06
1772084325340022627,8.36e-06
1772084325406900627,5.489e-06
1772084325440165627,1.4526e-05
1772084325507030627,9.096e-06
1772084325573790627,1.1057e-05
1772084325640530627,1.8136e-05
1772084325707275627,1.4502e-05
1772084325907664627,1.0762e-05
1772084325941042627,9.552e-06
1772084325974414627,1.8061e-05
1772084326041170627,9.5793e-05
1772084326675538627,9.179e-06
1772084326708931627,7.059e-06
1772084326775797627,7.078e-06
1772084326809047627,9.934e-06
1772084326909295627,9.444e-06
1772084326976054627,7.903e-06
1772084327009417627,7.141e-06
1772084327042806627,0.000172029
