timestamp(ns),elapsed(s)
1772084314555943627,0.000317822
1772084314689447627,3.362e-06
1772084315223706627,3.163e-06
1772084315490702627,2.319e-06
1772084315591065627,0.000120337
1772084315624397627,7.777e-06
1772084316091702627,2.013e-06
1772084316258712627,2.996e-06
1772084316358919627,2.724e-06
1772084316392211627,1.843e-06
1772084316458970627,3.632e-06
1772084316525704627,2.721e-06
1772084316559093627,2.354e-06
1772084316592752627,0.000106257
1772084316659358627,2.307e-06
1772084316694838627,3.363e-06
1772084316759473627,3.099e-06
1772084316828249627,4.838e-06
1772084316959867627,4.577e-06
1772084317026593627,4.229e-06
1772084317093578627,2.754e-06
1772084317126721627,3.567e-06
1772084317260217627,3.24e-06
1772084317327087627,4.574e-06
1772084317427259627,2.881e-06
1772084317460579627,3.452e-06
1772084317660968627,0.000244285
1772084317694339627,2.724e-06
1772084317727724627,5.316e-06
1772084318094961627,2.909e-06
1772084318228454627,5.497e-06
1772084318295349627,4.758e-06
1772084318462236627,4.848e-06
1772084318495599627,4.63e-06
1772084318695971627,0.000119301
1772084318764708627,2.767e-06
1772084318829474627,5.025e-06
1772084318996479627,1.4436e-05
1772084319129990627,3.001e-06
1772084319196727627,2.584e-06
1772084319230226627,3.18e-06
1772084319263489627,4.746e-06
1772084319296856627,3.427e-06
1772084319330366627,3.295e-06
1772084319397116627,5.323e-06
1772084319430464627,2.583e-06
1772084319530605627,6.999e-06
1772084319597438627,4.574e-06
1772084319664097627,2.153e-06
1772084319730977627,8.5392e-05
1772084319764370627,2.374e-06
1772084319831123627,3.336e-06
1772084320632410627,1.804e-06
1772084320665743627,2.553e-06
1772084320766012627,0.000110072
1772084320799364627,6.555e-06
1772084320932866627,2.137e-06
1772084320999619627,4.24e-06
1772084321032989627,6.479e-06
1772084321066498627,4.318e-06
1772084321133242627,2.468e-06
1772084321166618627,2.796e-06
1772084321333498627,1.643e-06
1772084321366892627,1.123e-06
1772084321400360627,7.07e-06
1772084321467121627,4.781e-06
1772084321567245627,4.287e-06
1772084321600625627,1.975e-06
1772084321634134627,3.894e-06
1772084321767615627,0.000174021
1772084321801014627,3.663e-06
1772084321934495627,2.025e-06
