timestamp(ns),elapsed(s)
1772084314555943627,7.123e-06
1772084314689447627,5.186e-06
1772084315223706627,3.908e-06
1772084315490702627,3.764e-06
1772084315591065627,3.523e-06
1772084315624397627,1.882e-06
1772084316091702627,1.603e-06
1772084316258712627,5.222e-06
1772084316358919627,2.152e-06
1772084316392211627,2.629e-06
1772084316458970627,3.783e-06
1772084316525704627,2.358e-06
1772084316559093627,3.933e-06
1772084316592752627,1.93e-06
1772084316659358627,1.843e-06
1772084316694838627,2.661e-06
1772084316759473627,3.515e-06
1772084316828249627,5.736e-06
1772084316959867627,5.742e-06
1772084317026593627,3.024e-06
1772084317093578627,2.477e-06
1772084317126721627,3.618e-06
1772084317260217627,5.18e-06
1772084317327087627,4.19e-06
1772084317427259627,5.914e-06
1772084317460579627,7.968e-06
1772084317660968627,6.314e-06
1772084317694339627,1.755e-06
1772084317727724627,8.265e-06
1772084318094961627,2.211e-06
1772084318228454627,6.321e-06
1772084318295349627,6.439e-06
1772084318462236627,7.382e-06
1772084318495599627,7.477e-06
1772084318695971627,4.399e-06
1772084318764708627,4.096e-06
1772084318829474627,4.254e-06
1772084318996479627,6.421e-06
1772084319129990627,2.228e-06
1772084319196727627,1.766e-06
1772084319230226627,2.638e-06
1772084319263489627,3.008e-06
1772084319296856627,2.868e-06
1772084319330366627,3.378e-06
1772084319397116627,1.1278e-05
1772084319430464627,3.781e-06
1772084319530605627,8.861e-06
1772084319597438627,3.738e-06
1772084319664097627,1.885e-06
1772084319730977627,1.961e-06
1772084319764370627,1.854e-06
1772084319831123627,3.134e-06
1772084320632410627,1.903e-06
1772084320665743627,1.811e-06
1772084320766012627,2.423e-06
1772084320799364627,4.871e-06
1772084320932866627,2.152e-06
1772084320999619627,5.56e-06
1772084321032989627,7.923e-06
1772084321066498627,3.791e-06
1772084321133242627,3.142e-06
1772084321166618627,6.909e-06
1772084321333498627,2.215e-06
1772084321366892627,1.496e-06
1772084321400360627,5.488e-06
1772084321467121627,4.836e-06
1772084321567245627,2.3741e-05
1772084321600625627,2.017e-06
1772084321634134627,3.02e-06
1772084321767615627,4.514e-06
1772084321801014627,7.25e-06
1772084321934495627,2.312e-06
1772084322101502627,2.097e-06
1772084322201631627,9.176e-06
1772084322268369627,1.82e-06
1772084322301756627,4.321e-06
1772084322435374627,8.697e-06
1772084322969467627,2.032e-06
1772084323236643627,2.839e-06
1772084323503771627,1.1423e-05
1772084323570514627,2.997e-06
1772084323637260627,3.302e-06
1772084323770781627,9.629e-06
1772084323871033627,3.599e-06
1772084323904372627,3.585e-06
1772084323937764627,3.329e-06
1772084323971136627,4.259e-06
1772084324004505627,4.133e-06
1772084324038030627,3.447e-06
1772084324071289627,1.729e-06
1772084324104637627,2.564e-06
1772084324238267627,4.944e-06
1772084324338395627,3.114e-06
1772084324572146627,1.893e-06
1772084324772466627,3.256e-06
1772084324839280627,5.106e-06
1772084324872646627,1.828e-06
1772084324906029627,3.166e-06
1772084325006150627,8.212e-06
1772084325039531627,3.942e-06
1772084325273274627,1.982e-06
1772084325340022627,2.973e-06
1772084325406900627,2.477e-06
1772084325440165627,4.013e-06
1772084325507030627,3.645e-06
1772084325573790627,3.583e-06
1772084325640530627,8.973e-06
1772084325707275627,6.494e-06
1772084325907664627,4.664e-06
1772084325941042627,3.965e-06
1772084325974414627,1.1068e-05
1772084326041170627,1.848e-06
1772084326675538627,2.334e-06
1772084326708931627,2.309e-06
1772084326775797627,2.345e-06
1772084326809047627,4.401e-06
1772084326909295627,2.556e-06
1772084326976054627,2.097e-06
1772084327009417627,1.808e-06
1772084327042806627,1.815e-06
1772084327076172627,1.0804e-05
1772084327243173627,2.574e-06
1772084327410063627,5.253e-06
1772084327476920627,5.379e-06
1772084327543549627,3.29e-06
1772084327577054627,2.811e-06
1772084327610426627,1.804e-06
1772084327677166627,1.806e-06
1772084327743922627,7.125e-06
1772084327810797627,3.097e-06
1772084327877431627,5.242e-06
1772084327978195627,4.33e-06
1772084328077856627,6.501e-06
1772084328244801627,8e-06
1772084328311550627,2.049e-06
1772084328344923627,2.393e-06
1772084328378312627,1.751e-06
1772084328445058627,1.851e-06
1772084328478704627,2.734e-06
1772084328545261627,1.706e-06
1772084328678822627,2.899e-06
1772084328712198627,3.872e-06
1772084328778938627,4.797e-06
1772084328845818627,2.123e-06
1772084328914365627,4.967e-06
1772084329148356627,7.976e-06
1772084329279820627,4.022e-06
1772084329313192627,2.091e-06
1772084329513758627,7.158e-06
1772084329780567627,3.729e-06
1772084329813971627,2.809e-06
1772084329880814627,1.983e-06
1772084330047692627,6.404e-06
1772084330114443627,1.6434e-05
1772084330148198627,2.795e-06
1772084330181196627,3.86e-06
1772084330348203627,3.138e-06
1772084330915702627,5.038e-06
1772084331049335627,6.274e-06
1772084331082711627,2.025e-06
1772084331149454627,1.885e-06
1772084331249703627,2.71e-06
1772084331316323627,3.369e-06
1772084331416588627,2.128e-06
1772084331449952627,2.452e-06
1772084331516703627,2.573e-06
1772084331618013627,4.556e-06
1772084331650209627,2.696e-06
1772084331817203627,2.082e-06
1772084331883956627,2.668e-06
1772084331984083627,3.635e-06
1772084332017585627,4.478e-06
1772084332117715627,4.267e-06
1772084332151098627,1.93e-06
1772084332384838627,4.269e-06
1772084332518349627,2.124e-06
1772084332551719627,3.825e-06
1772084332585108627,5.677e-06
1772084332818842627,2.068e-06
1772084333019096627,2.309e-06
1772084333054254627,2.339e-06
1772084333085982627,2.013e-06
1772084333155302627,5.095e-06
1772084333219471627,3.702e-06
1772084333419844627,3.876e-06
1772084333553365627,2.046e-06
1772084333653618627,2.122e-06
1772084333720221627,2.08e-06
1772084333820486627,6.729e-06
1772084333887227627,1.813e-06
1772084333920600627,3.894e-06
1772084334221121627,3.556e-06
1772084334321347627,2.824e-06
1772084334454842627,3.938e-06
1772084334521607627,2.306e-06
1772084334621737627,2.063e-06
1772084334788735627,2.204e-06
1772084334822106627,2.035e-06
1772084334922247627,2.125e-06
1772084334988991627,2.114e-06
1772084335055733627,1.976e-06
1772084335189355627,1.889e-06
1772084335422987627,7.107e-06
1772084335489861627,5.547e-06
1772084335523252627,3.939e-06
1772084335623361627,3.15e-06
1772084335690243627,2.248e-06
1772084335857131627,3.827e-06
1772084335923868627,1.868e-06
1772084336090744627,4.698e-06
1772084336124237627,3.402e-06
1772084336257753627,2.347e-06
1772084336458000627,1.85e-06
1772084336558262627,1.764e-06
1772084336691733627,2.522e-06
1772084336758518627,3.428e-06
1772084336791875627,2.345e-06
1772084336892100627,2.044e-06
1772084336958870627,1.897e-06
1772084337059158627,1.768e-06
1772084337094100627,2.679e-06
1772084337192682627,3.368e-06
1772084337226009627,1.995e-06
1772084337259375627,4.157e-06
1772084337326170627,3.747e-06
1772084337426256627,1.972e-06
1772084337493038627,2.452e-06
1772084337559879627,2.252e-06
1772084337660006627,2.284e-06
1772084337693383627,2.172e-06
1772084337726759627,2.015e-06
1772084337827467627,1.885e-06
1772084337860378627,2.031e-06
1772084337893763627,1.889e-06
1772084337960513627,2.168e-06
1772084338060632627,1.901e-06
1772084338094157627,3.934e-06
1772084338128643627,2.059e-06
1772084338194260627,9.533e-06
1772084338227642627,3.974e-06
1772084338294382627,3.764e-06
1772084338327768627,3.365e-06
1772084338461244627,2.21e-06
1772084338494640627,2.208e-06
1772084338594959627,3.849e-06
1772084338628265627,4.16e-06
1772084338695024627,2.429e-06
1772084338728389627,3.353e-06
1772084338761758627,3.248e-06
1772084338828509627,1.955e-06
1772084338995527627,9.319e-06
1772084339028888627,2.322e-06
1772084339063894627,3.632e-06
1772084339262719627,2.052e-06
1772084339396161627,4.949e-06
1772084339529644627,2.092e-06
1772084340431179627,2.641e-06
1772084340498027627,2.461e-06
1772084340698274627,2.337e-06
1772084340798404627,1.832e-06
1772084340865163627,2.042e-06
1772084341032175627,3.214e-06
1772084341065546627,3.346e-06
1772084341133698627,2.187e-06
1772084341165795627,2.195e-06
1772084341199042627,2.24e-06
1772084341232407627,2.309e-06
1772084341499535627,3.101e-06
1772084341568499627,3.337e-06
1772084341599675627,2.812e-06
1772084341699945627,2.199e-06
1772084341800042627,5.246e-06
1772084342067186627,3.661e-06
1772084342768303627,1.965e-06
1772084342935177627,2.26e-06
1772084343035436627,2.521e-06
1772084343102160627,2.029e-06
1772084343335941627,1.931e-06
1772084343436060627,3.877e-06
1772084343569689627,2.487e-06
1772084343636322627,2.073e-06
1772084343669817627,2.18e-06
1772084343836689627,3.665e-06
1772084343937022627,1.962e-06
1772084344003567627,3.064e-06
1772084344037061627,4.893e-06
1772084344203942627,4.118e-06
1772084344270810627,2.343e-06
1772084344337424627,2.141e-06
1772084344404315627,3.009e-06
1772084344437692627,1.923e-06
1772084344905075627,3.975e-06
1772084345005178627,3.871e-06
1772084345038718627,2.981e-06
1772084345273576627,7.124e-06
1772084345606211627,4.632e-06
1772084345674507627,5.417e-06
1772084345706344627,2.147e-06
1772084345839992627,6.214e-06
1772084345873335627,3.076e-06
1772084345907082627,5.342e-06
1772084345940078627,2.051e-06
1772084346074523627,3.764e-06
1772084346207212627,8.085e-06
1772084346240577627,2.145e-06
1772084346307459627,3.689e-06
1772084346340702627,4.929e-06
1772084346607840627,3.047e-06
1772084346774843627,2.324e-06
1772084347175466627,3.705e-06
1772084347208854627,3.792e-06
1772084347242208627,6.936e-06
1772084347409112627,2.486e-06
1772084347542712627,2.305e-06
1772084347678117627,4.567e-06
1772084347742969627,1.851e-06
1772084347776343627,2.087e-06
1772084348444119627,2.377e-06
1772084348510977627,2.15e-06
