timestamp(ns),elapsed(s)
1772084314555943627,0.000227789
1772084314689447627,0.000162935
1772084315223706627,0.000218425
1772084315490702627,0.000121898
1772084315591065627,0.000121672
1772084315624397627,8.8429e-05
1772084316091702627,8.4704e-05
1772084316258712627,0.000216823
1772084316358919627,0.000102144
1772084316392211627,0.000161126
1772084316458970627,0.000176184
1772084316525704627,0.000101463
1772084316559093627,0.00012898
1772084316592752627,8.7603e-05
1772084316659358627,8.8637e-05
1772084316694838627,0.000133024
1772084316759473627,0.000128845
1772084316828249627,0.000285575
1772084316959867627,0.000215608
1772084317026593627,0.00014826
1772084317093578627,0.000142356
1772084317126721627,0.000179769
1772084317260217627,0.000184892
1772084317327087627,0.000183627
1772084317427259627,0.00024964
1772084317460579627,0.000248136
1772084317660968627,0.000244904
1772084317694339627,9.5038e-05
1772084317727724627,0.000319084
1772084318094961627,0.000118563
1772084318228454627,0.000250279
1772084318295349627,0.000261677
1772084318462236627,0.00026989
1772084318495599627,0.0003518
1772084318695971627,0.000212622
1772084318764708627,0.000236334
1772084318829474627,0.000251052
1772084318996479627,0.000361198
1772084319129990627,0.000118213
1772084319196727627,9.3214e-05
1772084319230226627,0.000150251
1772084319263489627,0.000161467
1772084319296856627,0.000171351
1772084319330366627,0.000207871
1772084319397116627,0.000511596
1772084319430464627,0.000183378
1772084319530605627,0.000456433
1772084319597438627,0.000186425
1772084319664097627,9.6653e-05
1772084319730977627,0.000110718
1772084319764370627,9.8499e-05
1772084319831123627,0.000167937
1772084320632410627,9.7937e-05
1772084320665743627,0.000101535
1772084320766012627,0.000146486
1772084320799364627,0.000257873
1772084320932866627,0.000111218
1772084320999619627,0.000239363
1772084321032989627,0.000366455
1772084321066498627,0.000195449
1772084321133242627,0.000135926
1772084321166618627,0.000159523
1772084321333498627,0.00010125
1772084321366892627,9.83e-05
1772084321400360627,0.000322447
1772084321467121627,0.000255835
1772084321567245627,0.000271908
1772084321600625627,9.3938e-05
1772084321634134627,0.000153518
1772084321767615627,0.000207156
1772084321801014627,0.000220672
1772084321934495627,9.6744e-05
1772084322101502627,0.000131271
1772084322201631627,0.000375518
1772084322268369627,0.000105322
1772084322301756627,0.000185291
1772084322435374627,0.000434043
1772084322969467627,0.000114875
1772084323236643627,0.000155532
1772084323503771627,0.000495498
1772084323570514627,0.000136959
1772084323637260627,0.000202559
1772084323770781627,0.000365677
1772084323871033627,0.000162382
1772084323904372627,0.000160865
1772084323937764627,0.000156038
1772084323971136627,0.000160024
1772084324004505627,0.000164595
1772084324038030627,0.000162722
1772084324071289627,0.000109695
1772084324104637627,0.000151755
1772084324238267627,0.000208408
1772084324338395627,0.000179582
1772084324572146627,0.000108636
1772084324772466627,0.000217205
1772084324839280627,0.000178907
1772084324872646627,0.000111969
1772084324906029627,0.000163614
1772084325006150627,0.000382243
1772084325039531627,0.000192521
1772084325273274627,0.00011819
1772084325340022627,0.000176667
1772084325406900627,0.000127953
1772084325440165627,0.000262317
1772084325507030627,0.000156212
1772084325573790627,0.00021423
1772084325640530627,0.000360771
1772084325707275627,0.000306333
1772084325907664627,0.000205458
1772084325941042627,0.000165384
1772084325974414627,0.000482426
1772084326041170627,0.000119105
1772084326675538627,0.000134999
1772084326708931627,0.00012963
1772084326775797627,0.000116944
1772084326809047627,0.000196475
1772084326909295627,0.000138718
1772084326976054627,0.000109893
1772084327009417627,0.000104238
1772084327042806627,0.000105875
1772084327076172627,0.000415106
1772084327243173627,0.000142732
1772084327410063627,0.000207393
1772084327476920627,0.000243039
1772084327543549627,0.000201518
1772084327577054627,0.000155552
1772084327610426627,0.000103806
1772084327677166627,0.000104526
1772084327743922627,0.000308279
1772084327810797627,0.000154768
1772084327877431627,0.000207709
