timestamp(ns),elapsed(s)
1772084314555943627,0.000196481
1772084314689447627,0.000162471
1772084315223706627,0.000590743
1772084315490702627,0.000199304
1772084315591065627,0.000192454
1772084315624397627,0.000119874
1772084316091702627,9.9506e-05
1772084316258712627,0.000263602
1772084316358919627,9.912e-05
1772084316392211627,0.000183165
1772084316458970627,0.000356936
1772084316525704627,0.000130486
1772084316559093627,0.000217714
1772084316592752627,0.000171955
1772084316659358627,0.000114195
1772084316694838627,0.000174216
1772084316759473627,0.000178602
1772084316828249627,0.000311914
1772084316959867627,0.000313227
1772084317026593627,0.000186711
1772084317093578627,0.000177453
1772084317126721627,0.000223072
1772084317260217627,0.000248509
1772084317327087627,0.000216924
1772084317427259627,0.000342041
1772084317460579627,0.000331862
1772084317660968627,0.000318184
1772084317694339627,0.000140327
1772084317727724627,0.000376409
1772084318094961627,0.000162817
1772084318228454627,0.000379434
1772084318295349627,0.000357802
1772084318462236627,0.000339149
1772084318495599627,0.000480172
1772084318695971627,0.000332426
1772084318764708627,0.000300035
1772084318829474627,0.000289377
1772084318996479627,0.000417649
1772084319129990627,0.000171219
1772084319196727627,0.000138442
1772084319230226627,0.000195127
1772084319263489627,0.000231794
1772084319296856627,0.000221096
1772084319330366627,0.000185131
1772084319397116627,0.000407389
1772084319430464627,0.000233644
1772084319530605627,0.000677918
1772084319597438627,0.000262058
1772084319664097627,0.000141234
1772084319730977627,0.00017965
1772084319764370627,0.000148932
1772084319831123627,0.000227171
1772084320632410627,0.000224751
1772084320665743627,0.000142862
1772084320766012627,0.000195101
1772084320799364627,0.000317535
1772084320932866627,0.000159737
1772084320999619627,0.000400918
1772084321032989627,0.000523523
1772084321066498627,0.000293978
1772084321133242627,0.000182373
1772084321166618627,0.000283859
1772084321333498627,0.000127002
1772084321366892627,0.00011664
1772084321400360627,0.000383001
1772084321467121627,0.000375223
1772084321567245627,0.000441992
1772084321600625627,0.000273511
1772084321634134627,0.000257592
1772084321767615627,0.000509547
1772084321801014627,0.000373525
1772084321934495627,0.00040798
1772084322101502627,0.000190496
1772084322201631627,0.000496812
1772084322268369627,0.000177912
1772084322301756627,0.000417389
1772084322435374627,0.00073061
1772084322969467627,0.000209301
1772084323236643627,0.000500836
1772084323503771627,0.000709244
1772084323570514627,0.000194735
1772084323637260627,0.000490425
1772084323770781627,0.000507278
1772084323871033627,0.000320915
1772084323904372627,0.00028073
1772084323937764627,0.000282107
1772084323971136627,0.000289306
1772084324004505627,0.000308045
1772084324038030627,0.000345167
1772084324071289627,0.000201324
1772084324104637627,0.000230177
1772084324238267627,0.00034098
1772084324338395627,0.000304069
1772084324572146627,0.000191507
1772084324772466627,0.000319524
1772084324839280627,0.000263628
1772084324872646627,0.000199134
1772084324906029627,0.000251044
1772084325006150627,0.00065909
1772084325039531627,0.000229175
1772084325273274627,0.000215167
1772084325340022627,0.000344481
1772084325406900627,0.000203528
1772084325440165627,0.000428784
1772084325507030627,0.000340458
1772084325573790627,0.00032582
1772084325640530627,0.000598754
1772084325707275627,0.000516135
1772084325907664627,0.000402659
1772084325941042627,0.000444806
1772084325974414627,0.000694941
1772084326041170627,0.000224252
1772084326675538627,0.000254406
1772084326708931627,0.000218903
1772084326775797627,0.000243693
1772084326809047627,0.000236864
1772084326909295627,0.000472847
1772084326976054627,0.000328676
1772084327009417627,0.000201745
1772084327042806627,0.000198607
1772084327076172627,0.000373312
1772084327243173627,0.000414391
1772084327410063627,0.000424478
1772084327476920627,0.000429814
1772084327543549627,0.00032943
1772084327577054627,0.000269087
1772084327610426627,0.000197097
1772084327677166627,0.000205849
1772084327743922627,0.00051565
1772084327810797627,0.000260037
1772084327877431627,0.00037661
1772084327978195627,0.000401286
1772084328077856627,0.000357426
1772084328244801627,0.000785813
1772084328311550627,0.000200227
1772084328344923627,0.000261137
1772084328378312627,0.000205769
1772084328445058627,0.000213417
1772084328478704627,0.000332459
1772084328545261627,0.000211287
1772084328678822627,0.000279255
1772084328712198627,0.000396642
1772084328778938627,0.000465178
1772084328845818627,0.000232541
1772084328914365627,0.000364696
1772084329148356627,0.000504251
1772084329279820627,0.000613397
1772084329313192627,0.00023454
1772084329513758627,0.000606844
1772084329780567627,0.00035701
1772084329813971627,0.000472714
1772084329880814627,0.000269911
1772084330047692627,0.000432732
1772084330114443627,0.000723892
1772084330148198627,0.000256814
1772084330181196627,0.000377219
1772084330348203627,0.000429552
1772084330915702627,0.000385405
1772084331049335627,0.000384367
1772084331082711627,0.000243595
1772084331149454627,0.000243965
1772084331249703627,0.000239931
1772084331316323627,0.000350125
1772084331416588627,0.000253543
1772084331449952627,0.000274711
1772084331516703627,0.000297703
1772084331618013627,0.000495955
1772084331650209627,0.00030688
1772084331817203627,0.000261092
1772084331883956627,0.000402503
1772084331984083627,0.000246692
1772084332017585627,0.00040901
1772084332117715627,0.000442516
1772084332151098627,0.000299869
1772084332384838627,0.00046271
1772084332518349627,0.000295537
1772084332551719627,0.00048265
1772084332585108627,0.000485431
1772084332818842627,0.000314253
1772084333019096627,0.000320647
1772084333054254627,0.000288371
1772084333085982627,0.000514326
1772084333155302627,0.000501899
1772084333219471627,0.000508592
1772084333419844627,0.000449331
1772084333553365627,0.000311648
1772084333653618627,0.000298352
