timestamp(ns),elapsed(s)
1772084314555943627,0.00749177
1772084314689447627,0.00259425
1772084315223706627,0.00763661
1772084315490702627,0.00237289
1772084315591065627,0.00242138
1772084315624397627,0.00197894
1772084316091702627,0.00185277
1772084316258712627,0.005776
1772084316358919627,0.0026935
1772084316392211627,0.00275827
1772084316458970627,0.00536886
1772084316525704627,0.00280795
1772084316559093627,0.00361107
1772084316592752627,0.00379772
1772084316659358627,0.00368607
1772084316694838627,0.00290201
1772084316759473627,0.00240995
1772084316828249627,0.00849672
1772084316959867627,0.00286517
1772084317026593627,0.00542863
1772084317093578627,0.00343015
1772084317126721627,0.00288496
1772084317260217627,0.00370802
1772084317327087627,0.00301719
1772084317427259627,0.00352768
1772084317460579627,0.0053988
1772084317660968627,0.00364682
1772084317694339627,0.00604048
1772084317727724627,0.00473403
1772084318094961627,0.00398972
1772084318228454627,0.00627845
1772084318295349627,0.00596447
1772084318462236627,0.00555842
1772084318495599627,0.00547176
1772084318695971627,0.00292034
1772084318764708627,0.00510676
1772084318829474627,0.00573901
1772084318996479627,0.00784776
1772084319129990627,0.00821593
1772084319196727627,0.0035506
1772084319230226627,0.00356917
1772084319263489627,0.00269571
1772084319296856627,0.00215038
1772084319330366627,0.00337997
1772084319397116627,0.00418431
1772084319430464627,0.00296464
1772084319530605627,0.00373204
1772084319597438627,0.00380399
1772084319664097627,0.00270664
1772084319730977627,0.00250152
1772084319764370627,0.00264068
1772084319831123627,0.00480219
1772084320632410627,0.00532764
1772084320665743627,0.00296051
1772084320766012627,0.00287345
1772084320799364627,0.00409055
1772084320932866627,0.00333254
1772084320999619627,0.00223578
1772084321032989627,0.00333313
1772084321066498627,0.00360599
1772084321133242627,0.00394211
1772084321166618627,0.00198771
1772084321333498627,0.00208182
1772084321366892627,0.00202434
1772084321400360627,0.00365229
1772084321467121627,0.00629995
1772084321567245627,0.0042202
1772084321600625627,0.00388732
1772084321634134627,0.00257644
1772084321767615627,0.00718777
1772084321801014627,0.00344717
1772084321934495627,0.0022165
1772084322101502627,0.00341588
1772084322201631627,0.00592735
1772084322268369627,0.00450022
1772084322301756627,0.00515668
1772084322435374627,0.00308081
1772084322969467627,0.00320775
1772084323236643627,0.0043733
1772084323503771627,0.00390012
1772084323570514627,0.00329119
1772084323637260627,0.00298324
1772084323770781627,0.00285416
1772084323871033627,0.00435807
1772084323904372627,0.00230115
1772084323937764627,0.00276482
1772084323971136627,0.00469293
1772084324004505627,0.00389157
1772084324038030627,0.00275339
1772084324071289627,0.00336457
1772084324104637627,0.00326205
1772084324238267627,0.00462714
1772084324338395627,0.00489123
1772084324572146627,0.00279345
1772084324772466627,0.00553371
1772084324839280627,0.00576241
1772084324872646627,0.0043411
1772084324906029627,0.0030241
1772084325006150627,0.00647696
1772084325039531627,0.00201328
1772084325273274627,0.00312711
1772084325340022627,0.00639786
1772084325406900627,0.00241812
1772084325440165627,0.00307009
1772084325507030627,0.00371493
1772084325573790627,0.00350575
1772084325640530627,0.00242808
1772084325707275627,0.00389905
1772084325907664627,0.00447637
1772084325941042627,0.00323594
1772084325974414627,0.00302048
1772084326041170627,0.00617481
1772084326675538627,0.00268657
1772084326708931627,0.00292718
1772084326775797627,0.00230063
1772084326809047627,0.00299766
1772084326909295627,0.00386548
1772084326976054627,0.00643794
1772084327009417627,0.0027065
1772084327042806627,0.00389768
1772084327076172627,0.00395545
1772084327243173627,0.00561935
1772084327410063627,0.00875018
1772084327476920627,0.00517599
1772084327543549627,0.00577792
1772084327577054627,0.00294473
1772084327610426627,0.00358058
1772084327677166627,0.00269818
1772084327743922627,0.0048325
1772084327810797627,0.00631836
1772084327877431627,0.00249724
1772084327978195627,0.00349024
1772084328077856627,0.0123406
1772084328244801627,0.0113873
1772084328311550627,0.00296132
1772084328344923627,0.00263471
1772084328378312627,0.0037558
1772084328445058627,0.00278492
1772084328478704627,0.00777284
1772084328545261627,0.00706509
1772084328678822627,0.002758
1772084328712198627,0.0060698
1772084328778938627,0.0109111
1772084328845818627,0.00382298
1772084328914365627,0.00869271
1772084329148356627,0.00808186
1772084329279820627,0.00409182
1772084329313192627,0.00571458
1772084329513758627,0.00692421
1772084329780567627,0.00684356
1772084329813971627,0.00531336
1772084329880814627,0.0035558
1772084330047692627,0.00489551
1772084330114443627,0.0041541
1772084330148198627,0.00559581
1772084330181196627,0.00683363
1772084330348203627,0.00433007
1772084330915702627,0.00817084
1772084331049335627,0.00615306
1772084331082711627,0.00933113
1772084331149454627,0.00383849
1772084331249703627,0.00594939
1772084331316323627,0.00616698
1772084331416588627,0.00258525
1772084331449952627,0.00325587
1772084331516703627,0.00301954
1772084331618013627,0.00764335
1772084331650209627,0.00683442
1772084331817203627,0.00462866
1772084331883956627,0.0091405
1772084331984083627,0.00337831
1772084332017585627,0.00691305
1772084332117715627,0.00984421
1772084332151098627,0.00829648
1772084332384838627,0.00965255
1772084332518349627,0.00776946
1772084332551719627,0.00533255
1772084332585108627,0.0041569
1772084332818842627,0.00902191
1772084333019096627,0.00961604
1772084333054254627,0.00614809
1772084333085982627,0.00924452
1772084333155302627,0.00636449
1772084333219471627,0.0120185
1772084333419844627,0.00606971
1772084333553365627,0.00664741
1772084333653618627,0.00621073
1772084333720221627,0.00559834
1772084333820486627,0.00499008
1772084333887227627,0.00510815
1772084333920600627,0.00929008
1772084334221121627,0.0105259
1772084334321347627,0.010921
1772084334454842627,0.0145915
1772084334521607627,0.00495811
1772084334621737627,0.00839671
1772084334788735627,0.00811366
1772084334822106627,0.0125104
1772084334922247627,0.00633147
1772084334988991627,0.00709469
1772084335055733627,0.00646936
1772084335189355627,0.00533141
1772084335422987627,0.00549287
1772084335489861627,0.00709909
1772084335523252627,0.00717471
1772084335623361627,0.0115458
1772084335690243627,0.00873454
1772084335857131627,0.00968591
1772084335923868627,0.0108541
1772084336090744627,0.00961388
1772084336124237627,0.00684719
1772084336257753627,0.00533524
1772084336458000627,0.00615484
1772084336558262627,0.00433161
1772084336691733627,0.00731133
1772084336758518627,0.00503369
1772084336791875627,0.00612283
1772084336892100627,0.00791594
1772084336958870627,0.00708629
1772084337059158627,0.00505239
1772084337094100627,0.00642559
1772084337192682627,0.00834497
1772084337226009627,0.00426158
1772084337259375627,0.00973572
1772084337326170627,0.00747376
1772084337426256627,0.0152412
1772084337493038627,0.00734323
1772084337559879627,0.0103688
1772084337660006627,0.00477401
1772084337693383627,0.00573407
1772084337726759627,0.0039404
1772084337827467627,0.00881618
1772084337860378627,0.00650924
1772084337893763627,0.00513498
1772084337960513627,0.0107701
1772084338060632627,0.0100818
1772084338094157627,0.00636156
1772084338128643627,0.00384337
1772084338194260627,0.0065058
1772084338227642627,0.00895559
1772084338294382627,0.00995095
1772084338327768627,0.00602621
1772084338461244627,0.00858133
1772084338494640627,0.00396325
1772084338594959627,0.00726266
1772084338628265627,0.00662287
1772084338695024627,0.00961032
1772084338728389627,0.00718131
1772084338761758627,0.0106248
1772084338828509627,0.0124319
1772084338995527627,0.0125857
1772084339028888627,0.00428289
1772084339063894627,0.0109964
1772084339262719627,0.0100737
1772084339396161627,0.00993288
1772084339529644627,0.00821218
1772084340431179627,0.00569005
1772084340498027627,0.0065736
1772084340698274627,0.00617034
1772084340798404627,0.0045062
1772084340865163627,0.00720519
1772084341032175627,0.00487912
1772084341065546627,0.00853929
1772084341133698627,0.00490689
1772084341165795627,0.00523003
1772084341199042627,0.0058607
1772084341232407627,0.00607616
1772084341499535627,0.00958951
1772084341568499627,0.00773978
1772084341599675627,0.00948809
1772084341699945627,0.00923689
1772084341800042627,0.0111936
1772084342067186627,0.0040953
1772084342768303627,0.00624964
1772084342935177627,0.00443129
1772084343035436627,0.00740174
1772084343102160627,0.0100011
1772084343335941627,0.00831156
1772084343436060627,0.00917788
1772084343569689627,0.0155567
1772084343636322627,0.00595854
1772084343669817627,0.00634342
1772084343836689627,0.00741687
1772084343937022627,0.0145549
1772084344003567627,0.00774923
1772084344037061627,0.00902191
1772084344203942627,0.0109302
1772084344270810627,0.00572463
1772084344337424627,0.00421823
1772084344404315627,0.0139983
1772084344437692627,0.00874173
1772084344905075627,0.00761638
1772084345005178627,0.00740969
1772084345038718627,0.00639164
1772084345273576627,0.00641858
1772084345606211627,0.00543195
1772084345674507627,0.00712489
1772084345706344627,0.00848325
1772084345839992627,0.00677752
1772084345873335627,0.00480277
1772084345907082627,0.00534455
1772084345940078627,0.0049747
1772084346074523627,0.00888172
1772084346207212627,0.00972333
1772084346240577627,0.0123412
1772084346307459627,0.0047333
1772084346340702627,0.00546182
1772084346607840627,0.0104917
1772084346774843627,0.0112001
1772084347175466627,0.00893393
1772084347208854627,0.00433172
1772084347242208627,0.0117849
1772084347409112627,0.010211
1772084347542712627,0.0109902
1772084347678117627,0.00470985
1772084347742969627,0.00382641
1772084347776343627,0.01183
1772084348444119627,0.00387798
