timestamp(ns),elapsed(s)
1772084314555943627,7.2417e-05
1772084314689447627,2.9946e-05
1772084315223706627,2.7693e-05
1772084315490702627,2.6156e-05
1772084315591065627,1.728e-05
1772084315624397627,1.4218e-05
1772084316091702627,2.0264e-05
1772084316258712627,4.2366e-05
1772084316358919627,5.863e-05
1772084316392211627,6.6151e-05
1772084316458970627,0.000236463
1772084316525704627,3.4844e-05
1772084316559093627,5.1207e-05
1772084316592752627,5.5391e-05
1772084316659358627,2.0337e-05
1772084316694838627,3.943e-05
1772084316759473627,2.4852e-05
1772084316828249627,0.000120527
1772084316959867627,5.6068e-05
1772084317026593627,5.6109e-05
1772084317093578627,2.9397e-05
1772084317126721627,6.1992e-05
1772084317260217627,4.9149e-05
1772084317327087627,0.000110567
1772084317427259627,4.7945e-05
1772084317460579627,8.6156e-05
1772084317660968627,5.6462e-05
1772084317694339627,6.5696e-05
1772084317727724627,5.5798e-05
1772084318094961627,7.6088e-05
1772084318228454627,7.7143e-05
1772084318295349627,9.7187e-05
1772084318462236627,6.4723e-05
1772084318495599627,6.1977e-05
1772084318695971627,0.000112249
1772084318764708627,5.4029e-05
1772084318829474627,0.00017469
1772084318996479627,6.2068e-05
1772084319129990627,0.000149632
1772084319196727627,3.0082e-05
1772084319230226627,3.5805e-05
1772084319263489627,2.439e-05
1772084319296856627,3.6061e-05
1772084319330366627,0.000115503
1772084319397116627,5.5732e-05
1772084319430464627,2.7546e-05
1772084319530605627,7.8252e-05
1772084319597438627,0.000127964
1772084319664097627,4.9386e-05
1772084319730977627,2.6634e-05
1772084319764370627,5.49e-05
1772084319831123627,4.6079e-05
1772084320632410627,3.3452e-05
1772084320665743627,4.0053e-05
1772084320766012627,5.4788e-05
1772084320799364627,9.2334e-05
1772084320932866627,5.7864e-05
1772084320999619627,7.862e-05
1772084321032989627,8.7107e-05
1772084321066498627,7.8045e-05
1772084321133242627,6.8034e-05
1772084321166618627,6.5296e-05
1772084321333498627,2.8268e-05
1772084321366892627,4.3508e-05
1772084321400360627,9.0667e-05
1772084321467121627,0.00039555
1772084321567245627,8.6251e-05
1772084321600625627,7.1133e-05
1772084321634134627,6.2407e-05
1772084321767615627,0.000201084
1772084321801014627,9.2017e-05
1772084321934495627,6.2474e-05
1772084322101502627,6.451e-05
1772084322201631627,0.00017956
1772084322268369627,4.1667e-05
1772084322301756627,7.4269e-05
1772084322435374627,0.0001589
1772084322969467627,5.7301e-05
1772084323236643627,9.0346e-05
1772084323503771627,0.000105138
1772084323570514627,7.7261e-05
1772084323637260627,8.8179e-05
1772084323770781627,9.1305e-05
1772084323871033627,0.000179817
1772084323904372627,6.2963e-05
1772084323937764627,0.000128652
1772084323971136627,4.9169e-05
1772084324004505627,5.7438e-05
1772084324038030627,5.0319e-05
1772084324071289627,7.0919e-05
1772084324104637627,0.000107048
1772084324238267627,0.000105746
1772084324338395627,7.2601e-05
1772084324572146627,0.000108381
1772084324772466627,0.000100549
1772084324839280627,8.5125e-05
1772084324872646627,5.0892e-05
1772084324906029627,0.000173304
1772084325006150627,0.000102428
1772084325039531627,5.7013e-05
1772084325273274627,7.0002e-05
1772084325340022627,5.1779e-05
1772084325406900627,4.8194e-05
1772084325440165627,0.000123432
1772084325507030627,4.5238e-05
1772084325573790627,8.5112e-05
1772084325640530627,0.000243155
1772084325707275627,0.000197595
1772084325907664627,0.0001394
1772084325941042627,0.000107465
1772084325974414627,0.000106573
1772084326041170627,6.0174e-05
1772084326675538627,5.7646e-05
1772084326708931627,5.5254e-05
1772084326775797627,5.6953e-05
1772084326809047627,5.3346e-05
1772084326909295627,5.9737e-05
1772084326976054627,8.5664e-05
1772084327009417627,5.8256e-05
1772084327042806627,8.1742e-05
1772084327076172627,8.2604e-05
1772084327243173627,7.3848e-05
1772084327410063627,6.1098e-05
1772084327476920627,8.8407e-05
1772084327543549627,6.9519e-05
1772084327577054627,6.5814e-05
1772084327610426627,5.8919e-05
1772084327677166627,4.9106e-05
1772084327743922627,0.000102301
1772084327810797627,8.6637e-05
1772084327877431627,7.1248e-05
1772084327978195627,0.000144285
1772084328077856627,9.9348e-05
1772084328244801627,9.2966e-05
1772084328311550627,5.0347e-05
1772084328344923627,8.5165e-05
1772084328378312627,6.9204e-05
1772084328445058627,7.5108e-05
1772084328478704627,9.1893e-05
1772084328545261627,7.9612e-05
1772084328678822627,6.2963e-05
1772084328712198627,0.00023708
1772084328778938627,0.000159257
1772084328845818627,8.5917e-05
1772084328914365627,0.000117771
1772084329148356627,0.000106757
1772084329279820627,5.8263e-05
1772084329313192627,6.1484e-05
1772084329513758627,0.000182203
1772084329780567627,7.7624e-05
1772084329813971627,0.000142026
1772084329880814627,7.4247e-05
1772084330047692627,7.7453e-05
1772084330114443627,0.000149922
1772084330148198627,5.5475e-05
1772084330181196627,0.000147784
1772084330348203627,8.837e-05
1772084330915702627,8.27e-05
1772084331049335627,5.0882e-05
1772084331082711627,6.5242e-05
1772084331149454627,5.4492e-05
1772084331249703627,8.4518e-05
1772084331316323627,8.4657e-05
1772084331416588627,0.000121364
1772084331449952627,8.6789e-05
1772084331516703627,6.6065e-05
1772084331618013627,0.000186735
1772084331650209627,0.000115932
1772084331817203627,8.8935e-05
1772084331883956627,8.9376e-05
1772084331984083627,0.000130733
1772084332017585627,7.2139e-05
1772084332117715627,8.5667e-05
1772084332151098627,0.00021057
1772084332384838627,9.359e-05
1772084332518349627,0.000110715
1772084332551719627,5.7294e-05
1772084332585108627,0.000125627
1772084332818842627,6.6528e-05
1772084333019096627,7.3528e-05
1772084333054254627,8.9041e-05
1772084333085982627,0.000109953
1772084333155302627,0.00010443
1772084333219471627,7.822e-05
1772084333419844627,0.000127263
1772084333553365627,0.000168931
1772084333653618627,0.000105493
1772084333720221627,8.2784e-05
1772084333820486627,8.6951e-05
1772084333887227627,8.4285e-05
1772084333920600627,0.000107421
1772084334221121627,0.000136028
1772084334321347627,0.000101476
1772084334454842627,9.5213e-05
1772084334521607627,6.7011e-05
1772084334621737627,0.000135285
1772084334788735627,0.000120001
1772084334822106627,9.2839e-05
1772084334922247627,0.000160831
1772084334988991627,0.000101249
1772084335055733627,0.000127201
1772084335189355627,0.000141397
1772084335422987627,0.000317363
1772084335489861627,0.00011269
1772084335523252627,0.000152744
1772084335623361627,0.000178109
1772084335690243627,0.00023843
1772084335857131627,0.00026084
1772084335923868627,7.8192e-05
1772084336090744627,9.6366e-05
1772084336124237627,0.000101377
1772084336257753627,9.9954e-05
1772084336458000627,8.1708e-05
1772084336558262627,0.000150331
