timestamp(ns),elapsed(s)
1772084314555943627,0.0136046
1772084314689447627,0.00674784
1772084315223706627,0.0129667
1772084315490702627,0.00744665
1772084315591065627,0.0068131
1772084315624397627,0.00719411
1772084316091702627,0.00664145
1772084316258712627,0.0142195
1772084316358919627,0.0120231
1772084316392211627,0.00932686
1772084316458970627,0.0193147
1772084316525704627,0.00718885
1772084316559093627,0.00723914
1772084316592752627,0.00730096
1772084316659358627,0.00630038
1772084316694838627,0.00853664
1772084316759473627,0.00620377
1772084316828249627,0.017955
1772084316959867627,0.0132339
1772084317026593627,0.0158438
1772084317093578627,0.0101626
1772084317126721627,0.0100226
1772084317260217627,0.0118425
1772084317327087627,0.0124591
1772084317427259627,0.00777519
1772084317460579627,0.0151691
1772084317660968627,0.00899294
1772084317694339627,0.0106084
1772084317727724627,0.0152805
1772084318094961627,0.0125951
1772084318228454627,0.0148462
1772084318295349627,0.0150745
1772084318462236627,0.0131237
1772084318495599627,0.0157952
1772084318695971627,0.00769201
1772084318764708627,0.013672
1772084318829474627,0.0155162
1772084318996479627,0.0229664
1772084319129990627,0.017894
1772084319196727627,0.0108711
1772084319230226627,0.0101221
1772084319263489627,0.00689266
1772084319296856627,0.00867453
1772084319330366627,0.0116199
1772084319397116627,0.0134371
1772084319430464627,0.00882791
1772084319530605627,0.0158742
1772084319597438627,0.00987481
1772084319664097627,0.00889616
1772084319730977627,0.00795687
1772084319764370627,0.00799037
1772084319831123627,0.0152191
1772084320632410627,0.0105082
1772084320665743627,0.0114404
1772084320766012627,0.0132871
1772084320799364627,0.0162374
1772084320932866627,0.0105969
1772084320999619627,0.00796838
1772084321032989627,0.0151025
1772084321066498627,0.0188164
1772084321133242627,0.0147794
1772084321166618627,0.0122702
1772084321333498627,0.00687196
1772084321366892627,0.00725346
1772084321400360627,0.0144908
1772084321467121627,0.0242215
1772084321567245627,0.0188389
1772084321600625627,0.0118301
1772084321634134627,0.0160681
1772084321767615627,0.0248489
1772084321801014627,0.0171065
1772084321934495627,0.00937778
1772084322101502627,0.00881368
1772084322201631627,0.0225303
1772084322268369627,0.0136558
1772084322301756627,0.0201587
1772084322435374627,0.0169911
1772084322969467627,0.00960984
1772084323236643627,0.00964306
1772084323503771627,0.01689
1772084323570514627,0.0115491
1772084323637260627,0.0155546
1772084323770781627,0.0124767
1772084323871033627,0.015364
1772084323904372627,0.00962626
1772084323937764627,0.0100873
1772084323971136627,0.0136682
1772084324004505627,0.0107689
1772084324038030627,0.010139
1772084324071289627,0.0115654
1772084324104637627,0.0206216
1772084324238267627,0.017945
1772084324338395627,0.0156547
1772084324572146627,0.00884556
1772084324772466627,0.0224322
1772084324839280627,0.0149076
1772084324872646627,0.0109384
1772084324906029627,0.0102016
1772084325006150627,0.0212762
1772084325039531627,0.0104879
1772084325273274627,0.0143826
1772084325340022627,0.0206994
1772084325406900627,0.009401
1772084325440165627,0.0244811
1772084325507030627,0.0104911
1772084325573790627,0.013985
1772084325640530627,0.0166239
1772084325707275627,0.0170448
1772084325907664627,0.0192368
1772084325941042627,0.0112669
1772084325974414627,0.0149699
1772084326041170627,0.0188247
1772084326675538627,0.0100786
1772084326708931627,0.0108
1772084326775797627,0.0151368
1772084326809047627,0.00861149
1772084326909295627,0.00892802
1772084326976054627,0.0139948
1772084327009417627,0.00955372
1772084327042806627,0.00903244
1772084327076172627,0.0103798
1772084327243173627,0.0203714
1772084327410063627,0.0209943
1772084327476920627,0.0197833
1772084327543549627,0.0154613
1772084327577054627,0.0120518
1772084327610426627,0.0111599
1772084327677166627,0.00952401
1772084327743922627,0.0203381
1772084327810797627,0.0197051
1772084327877431627,0.00948329
1772084327978195627,0.0203518
1772084328077856627,0.0269958
1772084328244801627,0.0221429
1772084328311550627,0.00957201
1772084328344923627,0.00846073
1772084328378312627,0.0100123
1772084328445058627,0.012668
1772084328478704627,0.0225324
