timestamp(ns),elapsed(s)
1772084314555943627,0.000255052
1772084314689447627,0.000188142
1772084315223706627,0.000176368
1772084315490702627,0.000142336
1772084315591065627,0.00015084
1772084315624397627,0.000110297
1772084316091702627,0.000158947
1772084316258712627,0.000133814
1772084316358919627,0.000129106
1772084316392211627,0.000283919
1772084316458970627,0.000523449
1772084316525704627,0.000307358
1772084316559093627,9.7581e-05
1772084316592752627,0.000148586
1772084316659358627,0.000182828
1772084316694838627,0.000269111
1772084316759473627,0.000210408
1772084316828249627,0.000312335
1772084316959867627,0.000231105
1772084317026593627,0.000327887
1772084317093578627,0.000200926
1772084317126721627,0.000290442
1772084317260217627,0.00024242
1772084317327087627,0.00018897
1772084317427259627,0.00021057
1772084317460579627,0.000176036
1772084317660968627,0.00025767
1772084317694339627,0.000191253
1772084317727724627,0.00037252
1772084318094961627,0.000189952
1772084318228454627,0.000228917
1772084318295349627,0.000395332
1772084318462236627,0.000296536
1772084318495599627,0.000307205
1772084318695971627,0.000235083
1772084318764708627,0.000177241
1772084318829474627,0.000317403
1772084318996479627,0.000399569
1772084319129990627,0.000239185
1772084319196727627,0.000128368
1772084319230226627,0.000191778
1772084319263489627,0.000149506
1772084319296856627,0.000206083
1772084319330366627,0.000480925
1772084319397116627,0.000374203
1772084319430464627,0.000143456
1772084319530605627,0.00054134
1772084319597438627,0.000291183
1772084319664097627,0.00019112
1772084319730977627,0.000112757
1772084319764370627,0.000227784
1772084319831123627,0.000245236
1772084320632410627,0.000235412
1772084320665743627,0.000175089
1772084320766012627,0.000254695
1772084320799364627,0.000310221
1772084320932866627,0.000280992
1772084320999619627,0.000263762
1772084321032989627,0.000456476
1772084321066498627,0.000421357
1772084321133242627,0.000238754
1772084321166618627,0.000208544
1772084321333498627,0.000131767
1772084321366892627,0.00014503
1772084321400360627,0.000448398
1772084321467121627,0.000480235
1772084321567245627,0.000332948
1772084321600625627,0.000120384
1772084321634134627,0.000322531
1772084321767615627,0.000372598
1772084321801014627,0.000306285
1772084321934495627,0.00019888
1772084322101502627,0.000223029
1772084322201631627,0.000360906
1772084322268369627,0.00014899
1772084322301756627,0.000456681
1772084322435374627,0.000346139
1772084322969467627,0.000247618
1772084323236643627,0.00030106
1772084323503771627,0.000337245
1772084323570514627,0.000145871
1772084323637260627,0.000558483
1772084323770781627,0.000254585
1772084323871033627,0.000568595
1772084323904372627,0.00032425
1772084323937764627,0.000239401
1772084323971136627,0.000238243
1772084324004505627,0.000271525
1772084324038030627,0.000261162
1772084324071289627,0.000251436
1772084324104637627,0.000207455
1772084324238267627,0.00030188
1772084324338395627,0.000369274
1772084324572146627,0.00030676
1772084324772466627,0.000391683
1772084324839280627,0.000294678
1772084324872646627,0.000168337
1772084324906029627,0.00036783
1772084325006150627,0.000585801
1772084325039531627,0.000543294
1772084325273274627,0.000276385
1772084325340022627,0.000220612
1772084325406900627,0.000569046
1772084325440165627,0.000507329
1772084325507030627,0.000287518
1772084325573790627,0.000410998
1772084325640530627,0.000455007
1772084325707275627,0.000397001
1772084325907664627,0.000378196
1772084325941042627,0.000159551
1772084325974414627,0.000519436
1772084326041170627,0.000237952
1772084326675538627,0.000212404
1772084326708931627,0.000137323
1772084326775797627,0.000205614
1772084326809047627,0.000219268
1772084326909295627,0.000277802
1772084326976054627,0.000235606
1772084327009417627,0.000223299
1772084327042806627,0.000228777
1772084327076172627,0.000465289
1772084327243173627,0.000316599
1772084327410063627,0.000200615
1772084327476920627,0.00034071
1772084327543549627,0.000299979
1772084327577054627,0.000408595
1772084327610426627,0.00030466
1772084327677166627,0.000168411
1772084327743922627,0.00053358
1772084327810797627,0.000431269
1772084327877431627,0.000341945
1772084327978195627,0.000536384
1772084328077856627,0.000399303
1772084328244801627,0.000394055
1772084328311550627,0.000180608
1772084328344923627,0.000263795
1772084328378312627,0.00031741
1772084328445058627,0.000293012
1772084328478704627,0.000368542
1772084328545261627,0.0002827
1772084328678822627,0.000196695
1772084328712198627,0.000438349
1772084328778938627,0.000393892
1772084328845818627,0.000279714
1772084328914365627,0.000343812
1772084329148356627,0.0004164
1772084329279820627,0.000193037
1772084329313192627,0.000243142
1772084329513758627,0.000331021
1772084329780567627,0.000332174
1772084329813971627,0.000304788
1772084329880814627,0.000315387
1772084330047692627,0.000441246
1772084330114443627,0.00048972
1772084330148198627,0.000178515
1772084330181196627,0.000218824
1772084330348203627,0.000393102
1772084330915702627,0.00026191
1772084331049335627,0.000191702
1772084331082711627,0.000278277
1772084331149454627,0.000156537
1772084331249703627,0.000319844
1772084331316323627,0.000285942
1772084331416588627,0.000350779
1772084331449952627,0.000317173
1772084331516703627,0.000221669
1772084331618013627,0.000754491
1772084331650209627,0.000501545
1772084331817203627,0.00029885
1772084331883956627,0.000372017
1772084331984083627,0.000299285
1772084332017585627,0.000369739
1772084332117715627,0.000352898
1772084332151098627,0.000222175
1772084332384838627,0.000601719
1772084332518349627,0.000489404
1772084332551719627,0.000240772
1772084332585108627,0.000251345
1772084332818842627,0.000339916
1772084333019096627,0.000372402
1772084333054254627,0.000553186
1772084333085982627,0.000559039
1772084333155302627,0.000589199
1772084333219471627,0.000397523
1772084333419844627,0.000574099
1772084333553365627,0.00039146
1772084333653618627,0.000292565
1772084333720221627,0.000406235
