timestamp(ns),elapsed(s)
1772084314555943627,7.719e-05
1772084314689447627,1.6027e-05
1772084315223706627,8.2288e-05
1772084315490702627,1.3232e-05
1772084315591065627,1.8508e-05
1772084315624397627,1.2616e-05
1772084316091702627,9.189e-06
1772084316258712627,3.7774e-05
1772084316358919627,3.0322e-05
1772084316392211627,1.2565e-05
1772084316458970627,3.3001e-05
1772084316525704627,1.5988e-05
1772084316559093627,3.7154e-05
1772084316592752627,3.3826e-05
1772084316659358627,1.5991e-05
1772084316694838627,1.4799e-05
1772084316759473627,1.6128e-05
1772084316828249627,3.0245e-05
1772084316959867627,2.2869e-05
1772084317026593627,2.7067e-05
1772084317093578627,1.6103e-05
1772084317126721627,1.8579e-05
1772084317260217627,2.9632e-05
1772084317327087627,2.0162e-05
1772084317427259627,2.5197e-05
1772084317460579627,3.3177e-05
1772084317660968627,2.4909e-05
1772084317694339627,1.9958e-05
1772084317727724627,2.7022e-05
1772084318094961627,2.8515e-05
1772084318228454627,2.4731e-05
1772084318295349627,2.0368e-05
1772084318462236627,3.8624e-05
1772084318495599627,2.857e-05
1772084318695971627,1.6173e-05
1772084318764708627,8.2937e-05
1772084318829474627,5.2106e-05
1772084318996479627,3.2531e-05
1772084319129990627,3.4246e-05
1772084319196727627,3.2781e-05
1772084319230226627,1.6759e-05
1772084319263489627,2.6215e-05
1772084319296856627,2.008e-05
1772084319330366627,1.9888e-05
1772084319397116627,2.6242e-05
1772084319430464627,1.7637e-05
1772084319530605627,3.817e-05
1772084319597438627,2.2891e-05
1772084319664097627,1.7983e-05
1772084319730977627,1.3134e-05
1772084319764370627,1.7401e-05
1772084319831123627,3.6589e-05
1772084320632410627,3.1289e-05
1772084320665743627,3.7738e-05
1772084320766012627,3.1949e-05
1772084320799364627,3.1697e-05
1772084320932866627,3.0416e-05
1772084320999619627,1.7392e-05
1772084321032989627,2.1031e-05
1772084321066498627,4.7958e-05
1772084321133242627,2.1665e-05
1772084321166618627,1.5896e-05
1772084321333498627,2.4785e-05
1772084321366892627,2.4098e-05
1772084321400360627,2.6745e-05
1772084321467121627,3.1158e-05
1772084321567245627,3.1219e-05
1772084321600625627,2.957e-05
1772084321634134627,3.8898e-05
1772084321767615627,3.3225e-05
1772084321801014627,3.2681e-05
1772084321934495627,1.7653e-05
1772084322101502627,1.2719e-05
1772084322201631627,2.798e-05
1772084322268369627,3.1371e-05
1772084322301756627,2.3901e-05
1772084322435374627,2.0699e-05
1772084322969467627,1.9697e-05
1772084323236643627,2.3264e-05
1772084323503771627,7.4189e-05
1772084323570514627,2.7549e-05
1772084323637260627,2.0322e-05
1772084323770781627,2.8439e-05
1772084323871033627,4.8613e-05
1772084323904372627,1.8629e-05
1772084323937764627,3.136e-05
1772084323971136627,7.1938e-05
1772084324004505627,1.9947e-05
1772084324038030627,1.7824e-05
1772084324071289627,1.5122e-05
1772084324104637627,2.3301e-05
1772084324238267627,3.3252e-05
1772084324338395627,3.6825e-05
1772084324572146627,2.5257e-05
1772084324772466627,3.0795e-05
1772084324839280627,3.2938e-05
1772084324872646627,1.9147e-05
1772084324906029627,1.7103e-05
1772084325006150627,4.3876e-05
1772084325039531627,1.8072e-05
1772084325273274627,1.9499e-05
1772084325340022627,3.2748e-05
1772084325406900627,2.5014e-05
1772084325440165627,2.2817e-05
1772084325507030627,3.2054e-05
1772084325573790627,3.5743e-05
1772084325640530627,2.2575e-05
1772084325707275627,2.3237e-05
1772084325907664627,6.9094e-05
1772084325941042627,2.7671e-05
1772084325974414627,1.5796e-05
1772084326041170627,9.0066e-05
1772084326675538627,2.3963e-05
1772084326708931627,2.4922e-05
1772084326775797627,1.4847e-05
1772084326809047627,1.5938e-05
1772084326909295627,2.0328e-05
1772084326976054627,3.544e-05
1772084327009417627,2.1815e-05
1772084327042806627,2.1237e-05
1772084327076172627,2.8524e-05
1772084327243173627,4.35e-05
1772084327410063627,4.4399e-05
1772084327476920627,2.5427e-05
