timestamp(ns),elapsed(s)
1772084314555943627,0.00479882
1772084314689447627,0.00201718
1772084315223706627,0.00636922
1772084315490702627,0.00212111
1772084315591065627,0.00205399
1772084315624397627,0.00312473
1772084316091702627,0.0021425
1772084316258712627,0.00407427
1772084316358919627,0.00349558
1772084316392211627,0.00275064
1772084316458970627,0.00576389
1772084316525704627,0.00214036
1772084316559093627,0.00272812
1772084316592752627,0.00228544
1772084316659358627,0.002383
1772084316694838627,0.00236522
1772084316759473627,0.00203257
1772084316828249627,0.00544539
1772084316959867627,0.00366589
1772084317026593627,0.00490146
1772084317093578627,0.00318388
1772084317126721627,0.00309361
1772084317260217627,0.00403224
1772084317327087627,0.00322586
1772084317427259627,0.00161914
1772084317460579627,0.00445044
1772084317660968627,0.00337552
1772084317694339627,0.00415589
1772084317727724627,0.00485584
1772084318094961627,0.00404207
1772084318228454627,0.0046597
1772084318295349627,0.00443718
1772084318462236627,0.00485734
1772084318495599627,0.0045269
1772084318695971627,0.00252321
1772084318764708627,0.00464161
1772084318829474627,0.00467109
1772084318996479627,0.00786848
1772084319129990627,0.00788926
1772084319196727627,0.00458222
1772084319230226627,0.00258111
1772084319263489627,0.00215231
1772084319296856627,0.00198353
1772084319330366627,0.00252216
1772084319397116627,0.00353662
1772084319430464627,0.00210893
1772084319530605627,0.00301821
1772084319597438627,0.00357948
1772084319664097627,0.00259208
1772084319730977627,0.00243451
1772084319764370627,0.00252665
1772084319831123627,0.00400477
1772084320632410627,0.00487363
1772084320665743627,0.00375684
1772084320766012627,0.00302053
1772084320799364627,0.00461116
1772084320932866627,0.00416677
1772084320999619627,0.00245154
1772084321032989627,0.00370742
1772084321066498627,0.00375235
1772084321133242627,0.0047713
1772084321166618627,0.00250653
1772084321333498627,0.00218391
1772084321366892627,0.00238377
1772084321400360627,0.00367476
1772084321467121627,0.0076193
1772084321567245627,0.004754
1772084321600625627,0.00429358
1772084321634134627,0.00319568
1772084321767615627,0.00709912
1772084321801014627,0.00402519
1772084321934495627,0.00265149
1772084322101502627,0.00316684
1772084322201631627,0.00601891
1772084322268369627,0.00519018
1772084322301756627,0.00587997
1772084322435374627,0.00431946
1772084322969467627,0.00334485
1772084323236643627,0.00257122
1772084323503771627,0.00264591
1772084323570514627,0.00363664
1772084323637260627,0.00391579
1772084323770781627,0.00455905
1772084323871033627,0.00411816
1772084323904372627,0.00241495
1772084323937764627,0.00325083
1772084323971136627,0.00511786
1772084324004505627,0.00355907
1772084324038030627,0.0032621
1772084324071289627,0.00358472
1772084324104637627,0.00456613
1772084324238267627,0.00466774
1772084324338395627,0.00553518
1772084324572146627,0.00215105
