timestamp(ns),elapsed(s)
1772084314555943627,0.000305699
1772084314689447627,0.000189237
1772084315223706627,0.00011449
1772084315490702627,4.8793e-05
1772084315591065627,5.3047e-05
1772084315624397627,7.2655e-05
1772084316091702627,6.4309e-05
1772084316258712627,0.000121593
1772084316358919627,9.7531e-05
1772084316392211627,6.5205e-05
1772084316458970627,0.00017375
1772084316525704627,4.9237e-05
1772084316559093627,6.4349e-05
1772084316592752627,6.3471e-05
1772084316659358627,4.9576e-05
1772084316694838627,5.0588e-05
1772084316759473627,5.477e-05
1772084316828249627,0.000151444
1772084316959867627,9.3444e-05
1772084317026593627,0.000127969
1772084317093578627,6.1506e-05
1772084317126721627,8.0057e-05
1772084317260217627,9.7527e-05
1772084317327087627,6.9541e-05
1772084317427259627,5.0104e-05
1772084317460579627,0.000130407
1772084317660968627,7.9469e-05
1772084317694339627,0.000107505
1772084317727724627,0.000128745
1772084318094961627,0.000128514
1772084318228454627,0.000124844
1772084318295349627,0.000143501
1772084318462236627,0.000158403
1772084318495599627,0.000256292
1772084318695971627,7.1349e-05
1772084318764708627,0.000123631
1772084318829474627,0.000134933
1772084318996479627,0.000186422
1772084319129990627,0.00019178
1772084319196727627,0.00010554
1772084319230226627,6.8066e-05
1772084319263489627,5.324e-05
1772084319296856627,5.35e-05
1772084319330366627,0.000101944
1772084319397116627,8.5662e-05
1772084319430464627,5.8436e-05
1772084319530605627,0.00010434
1772084319597438627,6.4644e-05
1772084319664097627,7.1679e-05
1772084319730977627,6.4142e-05
1772084319764370627,7.436e-05
1772084319831123627,0.000138948
1772084320632410627,9.5401e-05
1772084320665743627,8.3023e-05
1772084320766012627,8.3479e-05
1772084320799364627,0.000153515
1772084320932866627,8.2488e-05
1772084320999619627,7.5959e-05
1772084321032989627,0.00013793
1772084321066498627,0.000149182
1772084321133242627,0.000120591
1772084321166618627,6.6911e-05
1772084321333498627,5.4892e-05
1772084321366892627,5.4885e-05
1772084321400360627,0.000107213
1772084321467121627,0.000273011
1772084321567245627,0.000206093
1772084321600625627,0.00010573
1772084321634134627,0.000111227
1772084321767615627,0.000205255
1772084321801014627,0.000105451
1772084321934495627,0.000108946
1772084322101502627,8.772e-05
1772084322201631627,0.000214307
1772084322268369627,0.00014252
1772084322301756627,0.000189513
1772084322435374627,0.000108218
1772084322969467627,7.0426e-05
1772084323236643627,6.8356e-05
1772084323503771627,9.1847e-05
1772084323570514627,0.000101704
1772084323637260627,0.000131081
1772084323770781627,0.000115287
1772084323871033627,0.000106311
1772084323904372627,6.3503e-05
1772084323937764627,9.4799e-05
1772084323971136627,0.0001519
1772084324004505627,9.6262e-05
1772084324038030627,9.6025e-05
1772084324071289627,8.8989e-05
1772084324104637627,0.000159364
1772084324238267627,0.000123725
1772084324338395627,0.000131921
1772084324572146627,6.6958e-05
1772084324772466627,0.000183946
1772084324839280627,0.000106155
1772084324872646627,8.7579e-05
1772084324906029627,6.8323e-05
1772084325006150627,0.000209924
1772084325039531627,7.0693e-05
1772084325273274627,9.4599e-05
1772084325340022627,0.000283524
1772084325406900627,6.8751e-05
1772084325440165627,0.000130216
1772084325507030627,8.1362e-05
1772084325573790627,0.000117067
1772084325640530627,8.7346e-05
1772084325707275627,0.000137839
1772084325907664627,0.000115339
1772084325941042627,0.000100218
1772084325974414627,9.5877e-05
1772084326041170627,0.000186659
1772084326675538627,6.5892e-05
1772084326708931627,7.0576e-05
1772084326775797627,0.000112171
1772084326809047627,7.273e-05
1772084326909295627,9.5223e-05
1772084326976054627,0.000121967
1772084327009417627,9.1871e-05
1772084327042806627,6.7719e-05
1772084327076172627,7.1387e-05
1772084327243173627,0.000184978
1772084327410063627,0.00019914
1772084327476920627,0.000199707
1772084327543549627,0.000126201
1772084327577054627,7.4822e-05
1772084327610426627,8.422e-05
1772084327677166627,7.2467e-05
1772084327743922627,0.000166495
1772084327810797627,0.000174576
1772084327877431627,6.9735e-05
1772084327978195627,0.000122865
1772084328077856627,0.00022554
1772084328244801627,0.000231123
1772084328311550627,6.9733e-05
1772084328344923627,6.7905e-05
1772084328378312627,7.071e-05
1772084328445058627,0.000126238
1772084328478704627,0.000180901
1772084328545261627,0.000143642
1772084328678822627,6.8537e-05
1772084328712198627,0.000155157
1772084328778938627,0.00020057
1772084328845818627,0.000113715
1772084328914365627,0.000193325
1772084329148356627,0.000238066
1772084329279820627,0.000179474
1772084329313192627,0.000130573
1772084329513758627,0.000165138
1772084329780567627,0.00014777
1772084329813971627,9.1522e-05
1772084329880814627,0.00018274
1772084330047692627,8.6624e-05
1772084330114443627,0.000100914
1772084330148198627,8.7074e-05
1772084330181196627,0.000156677
1772084330348203627,0.000119333
1772084330915702627,0.00023737
1772084331049335627,0.000123157
1772084331082711627,0.000181443
1772084331149454627,9.1806e-05
1772084331249703627,0.000151993
1772084331316323627,0.000221544
1772084331416588627,8.9701e-05
1772084331449952627,9.5272e-05
1772084331516703627,0.000100649
1772084331618013627,0.000249294
1772084331650209627,0.00017725
1772084331817203627,0.000144014
1772084331883956627,0.000245382
1772084331984083627,0.000101809
1772084332017585627,0.000318165
1772084332117715627,0.000299239
1772084332151098627,0.000330261
1772084332384838627,0.00030366
1772084332518349627,0.000346799
1772084332551719627,0.000144922
1772084332585108627,0.000115772
1772084332818842627,0.000193088
1772084333019096627,0.000227028
1772084333054254627,0.000124566
1772084333085982627,0.000343445
1772084333155302627,0.000143185
1772084333219471627,0.000322527
1772084333419844627,0.000223481
1772084333553365627,0.000209458
1772084333653618627,0.000181946
1772084333720221627,0.000171519
1772084333820486627,0.000146844
1772084333887227627,0.000144842
1772084333920600627,0.000394933
1772084334221121627,0.000204309
1772084334321347627,0.000253496
1772084334454842627,0.000266698
1772084334521607627,0.000185586
1772084334621737627,0.000198483
1772084334788735627,0.000222546
1772084334822106627,0.000200944
1772084334922247627,0.000195589
1772084334988991627,0.000208109
1772084335055733627,0.000140672
1772084335189355627,0.000148394
1772084335422987627,0.000150206
1772084335489861627,0.000169596
1772084335523252627,0.000238756
1772084335623361627,0.000304112
1772084335690243627,0.000284511
1772084335857131627,0.000297444
1772084335923868627,0.000244727
1772084336090744627,0.000145589
1772084336124237627,0.000156664
1772084336257753627,0.000215129
1772084336458000627,0.000221875
1772084336558262627,0.000141683
1772084336691733627,0.000335677
1772084336758518627,0.000134026
1772084336791875627,0.000711439
1772084336892100627,0.000147325
1772084336958870627,0.000629418
1772084337059158627,0.000145712
1772084337094100627,0.000213895
1772084337192682627,0.000146997
1772084337226009627,0.000145391
1772084337259375627,0.000166869
1772084337326170627,0.000155013
1772084337426256627,0.000348675
1772084337493038627,0.000221503
1772084337559879627,0.000343243
1772084337660006627,0.00014522
1772084337693383627,0.000148429
1772084337726759627,0.0001369
1772084337827467627,0.000236286
1772084337860378627,0.000150555
1772084337893763627,0.000247938
1772084337960513627,0.000263339
1772084338060632627,0.000205118
1772084338094157627,0.00014753
1772084338128643627,0.000145512
1772084338194260627,0.000149079
1772084338227642627,0.00022416
1772084338294382627,0.000198543
1772084338327768627,0.000164722
1772084338461244627,0.000303402
1772084338494640627,0.000207631
1772084338594959627,0.00018843
1772084338628265627,0.000273154
1772084338695024627,0.000236394
1772084338728389627,0.000239864
1772084338761758627,0.000264019
1772084338828509627,0.000373261
