timestamp(ns),elapsed(s)
1772084314555943627,0.00766925
1772084314689447627,0.00387256
1772084315223706627,0.00536562
1772084315490702627,0.00452624
1772084315591065627,0.00395508
1772084315624397627,0.00334829
1772084316091702627,0.00372387
1772084316258712627,0.00888222
1772084316358919627,0.00738138
1772084316392211627,0.00555221
1772084316458970627,0.0117046
1772084316525704627,0.00412629
1772084316559093627,0.0036297
1772084316592752627,0.00424266
1772084316659358627,0.00317614
1772084316694838627,0.00520224
1772084316759473627,0.00324062
1772084316828249627,0.0103542
1772084316959867627,0.00835822
1772084317026593627,0.00957797
1772084317093578627,0.00590541
1772084317126721627,0.0056571
1772084317260217627,0.00651149
1772084317327087627,0.00760248
1772084317427259627,0.00508064
1772084317460579627,0.00899641
1772084317660968627,0.00446739
1772084317694339627,0.0054179
1772084317727724627,0.0087191
1772084318094961627,0.00709268
1772084318228454627,0.00851863
1772084318295349627,0.00897154
1772084318462236627,0.00650346
1772084318495599627,0.0093305
1772084318695971627,0.00415449
1772084318764708627,0.00770775
1772084318829474627,0.00907011
1772084318996479627,0.0128253
1772084319129990627,0.00858938
1772084319196727627,0.00538066
1772084319230226627,0.00643708
1772084319263489627,0.00359115
1772084319296856627,0.00524005
1772084319330366627,0.00781589
1772084319397116627,0.00866892
1772084319430464627,0.0057509
1772084319530605627,0.0105973
1772084319597438627,0.00514364
1772084319664097627,0.00530575
1772084319730977627,0.00448188
1772084319764370627,0.00473471
1772084319831123627,0.00967304
1772084320632410627,0.00465042
1772084320665743627,0.00622982
1772084320766012627,0.00899014
1772084320799364627,0.00994017
1772084320932866627,0.00534905
1772084320999619627,0.0044963
1772084321032989627,0.00967487
1772084321066498627,0.0125708
1772084321133242627,0.00868329
1772084321166618627,0.00878117
1772084321333498627,0.00389177
1772084321366892627,0.00409946
1772084321400360627,0.00876073
1772084321467121627,0.0143588
1772084321567245627,0.0125063
1772084321600625627,0.00620457
1772084321634134627,0.0113346
1772084321767615627,0.0159658
1772084321801014627,0.0116075
1772084321934495627,0.00573661
1772084322101502627,0.00463434
1772084322201631627,0.0142931
1772084322268369627,0.0073484
1772084322301756627,0.0128654
1772084322435374627,0.0105825
1772084322969467627,0.0051854
1772084323236643627,0.00581342
1772084323503771627,0.0119625
1772084323570514627,0.00682694
1772084323637260627,0.00970978
1772084323770781627,0.00623977
1772084323871033627,0.00956817
1772084323904372627,0.00626727
1772084323937764627,0.00587132
1772084323971136627,0.00722553
1772084324004505627,0.00619414
1772084324038030627,0.00597313
1772084324071289627,0.00695011
1772084324104637627,0.0144423
1772084324238267627,0.0116699
1772084324338395627,0.00848721
1772084324572146627,0.0055901
1772084324772466627,0.0138564
1772084324839280627,0.00830798
1772084324872646627,0.00550934
1772084324906029627,0.00625786
1772084325006150627,0.0120578
1772084325039531627,0.00717324
1772084325273274627,0.00918852
1772084325340022627,0.0130536
1772084325406900627,0.00523372
1772084325440165627,0.0181431
1772084325507030627,0.0055224
1772084325573790627,0.00879227
1772084325640530627,0.0111285
1772084325707275627,0.0116457
1772084325907664627,0.0123485
1772084325941042627,0.00566867
1772084325974414627,0.009836
1772084326041170627,0.0104928
1772084326675538627,0.00651241
1772084326708931627,0.00676822
1772084326775797627,0.00842388
1772084326809047627,0.00505335
1772084326909295627,0.00480865
1772084326976054627,0.00791121
1772084327009417627,0.00498908
1772084327042806627,0.00510637
1772084327076172627,0.0068779
1772084327243173627,0.0125777
1772084327410063627,0.0119919
1772084327476920627,0.0124118
1772084327543549627,0.00748008
1772084327577054627,0.00714754
1772084327610426627,0.00605664
1772084327677166627,0.00539715
1772084327743922627,0.0123951
1772084327810797627,0.011839
1772084327877431627,0.00530086
1772084327978195627,0.0149739
1772084328077856627,0.0147827
1772084328244801627,0.0107487
1772084328311550627,0.00481732
1772084328344923627,0.00456635
1772084328378312627,0.00554782
1772084328445058627,0.007692
1772084328478704627,0.0120072
1772084328545261627,0.0067265
1772084328678822627,0.0083799
1772084328712198627,0.0163486
1772084328778938627,0.0168261
1772084328845818627,0.00918763
1772084328914365627,0.0123889
1772084329148356627,0.0130094
1772084329279820627,0.00950257
1772084329313192627,0.00831919
1772084329513758627,0.0126105
1772084329780567627,0.0103307
1772084329813971627,0.00614609
1772084329880814627,0.00561015
1772084330047692627,0.00601063
1772084330114443627,0.00619186
1772084330148198627,0.00739316
1772084330181196627,0.00847572
1772084330348203627,0.0064651
1772084330915702627,0.0130078
1772084331049335627,0.00658253
1772084331082711627,0.00915262
1772084331149454627,0.00575825
1772084331249703627,0.00655833
1772084331316323627,0.0122847
1772084331416588627,0.00692843
1772084331449952627,0.00810709
1772084331516703627,0.00791753
1772084331618013627,0.0125505
1772084331650209627,0.0145255
1772084331817203627,0.00835128
1772084331883956627,0.0183008
1772084331984083627,0.00817525
1772084332017585627,0.016475
1772084332117715627,0.0186365
1772084332151098627,0.0162266
1772084332384838627,0.024804
1772084332518349627,0.0181945
1772084332551719627,0.0144895
1772084332585108627,0.0117495
1772084332818842627,0.0198575
1772084333019096627,0.0170886
1772084333054254627,0.0135131
1772084333085982627,0.0123552
1772084333155302627,0.0126258
1772084333219471627,0.0177446
1772084333419844627,0.0162166
1772084333553365627,0.0167739
1772084333653618627,0.0132466
1772084333720221627,0.0143197
1772084333820486627,0.0111791
1772084333887227627,0.0116237
1772084333920600627,0.0170733
1772084334221121627,0.0203409
1772084334321347627,0.0183752
1772084334454842627,0.0137493
1772084334521607627,0.0118545
1772084334621737627,0.0157237
1772084334788735627,0.0152102
1772084334822106627,0.0142619
1772084334922247627,0.0189724
1772084334988991627,0.0125584
1772084335055733627,0.0141463
1772084335189355627,0.0115656
1772084335422987627,0.0165109
1772084335489861627,0.0181975
1772084335523252627,0.0146244
1772084335623361627,0.0212664
1772084335690243627,0.0201221
1772084335857131627,0.018121
1772084335923868627,0.0148361
1772084336090744627,0.0132935
1772084336124237627,0.0113302
1772084336257753627,0.0195583
1772084336458000627,0.0136093
1772084336558262627,0.0109669
1772084336691733627,0.0127814
1772084336758518627,0.0125412
1772084336791875627,0.0154373
1772084336892100627,0.0118921
1772084336958870627,0.0128434
1772084337059158627,0.0113692
1772084337094100627,0.0176941
1772084337192682627,0.0109243
1772084337226009627,0.0108418
1772084337259375627,0.0180014
1772084337326170627,0.0127733
1772084337426256627,0.0184276
1772084337493038627,0.0154327
1772084337559879627,0.0113267
1772084337660006627,0.0103876
1772084337693383627,0.0111886
1772084337726759627,0.0107679
1772084337827467627,0.0189295
1772084337860378627,0.0134575
1772084337893763627,0.0174726
1772084337960513627,0.0112643
1772084338060632627,0.0204744
1772084338094157627,0.0109533
1772084338128643627,0.0146954
1772084338194260627,0.0114865
1772084338227642627,0.0178949
1772084338294382627,0.0110266
1772084338327768627,0.00982314
1772084338461244627,0.0123652
1772084338494640627,0.018603
1772084338594959627,0.0151106
1772084338628265627,0.0121852
1772084338695024627,0.0131733
1772084338728389627,0.0199707
1772084338761758627,0.0212256
1772084338828509627,0.019449
1772084338995527627,0.0166763
1772084339028888627,0.0109195
1772084339063894627,0.0137023
1772084339262719627,0.0138553
1772084339396161627,0.0190822
1772084339529644627,0.0193619
1772084340431179627,0.0103961
1772084340498027627,0.0104095
1772084340698274627,0.0130392
1772084340798404627,0.0107398
1772084340865163627,0.00994607
1772084341032175627,0.0145939
1772084341065546627,0.0282988
1772084341133698627,0.0104271
1772084341165795627,0.0100953
1772084341199042627,0.0105114
1772084341232407627,0.0110077
1772084341499535627,0.0213618
1772084341568499627,0.0131735
1772084341599675627,0.0251236
1772084341699945627,0.0155493
1772084341800042627,0.016656
1772084342067186627,0.0115958
1772084342768303627,0.0147314
1772084342935177627,0.0102165
1772084343035436627,0.0137457
1772084343102160627,0.01603
1772084343335941627,0.00977482
1772084343436060627,0.0108053
1772084343569689627,0.0137547
1772084343636322627,0.010927
1772084343669817627,0.0128531
1772084343836689627,0.0165133
1772084343937022627,0.0109969
1772084344003567627,0.0103202
1772084344037061627,0.0195903
1772084344203942627,0.015326
1772084344270810627,0.0107617
1772084344337424627,0.0107217
1772084344404315627,0.0220597
1772084344437692627,0.0157274
1772084344905075627,0.0100752
1772084345005178627,0.00969235
1772084345038718627,0.00975324
1772084345273576627,0.0236401
1772084345606211627,0.00989986
1772084345674507627,0.0115836
1772084345706344627,0.0179368
1772084345839992627,0.0172559
1772084345873335627,0.0175512
1772084345907082627,0.0132332
1772084345940078627,0.00997699
1772084346074523627,0.0104484
1772084346207212627,0.0210721
1772084346240577627,0.0111451
1772084346307459627,0.00987479
1772084346340702627,0.0136292
1772084346607840627,0.0169087
1772084346774843627,0.0196424
1772084347175466627,0.0111084
1772084347208854627,0.0121644
1772084347242208627,0.0170506
1772084347409112627,0.0146224
1772084347542712627,0.0142273
1772084347678117627,0.0168863
1772084347742969627,0.0109614
1772084347776343627,0.0137028
1772084348444119627,0.0132466
1772084348510977627,0.0148139
1772084348544350627,0.0139827
1772084348677893627,0.0163947
1772084348744600627,0.0129707
1772084348777983627,0.00976078
1772084348811500627,0.0104687
1772084349011720627,0.01059
1772084349045106627,0.0116727
1772084349145235627,0.0189483
1772084349245456627,0.0186387
1772084349513582627,0.0142893
1772084349713763627,0.0135802
1772084349846494627,0.0241799
1772084350347261627,0.0164545
1772084350380694627,0.0109052
1772084350447491627,0.0101288
1772084350514141627,0.0120298
1772084350547602627,0.0183593
1772084350647741627,0.0105965
1772084350681115627,0.0131697
1772084351015003627,0.0151088
1772084351115263627,0.0182962
1772084351148478627,0.0120224
1772084351181873627,0.0124277
1772084351215375627,0.0116119
1772084351248734627,0.0119307
1772084351282123627,0.010601
1772084351382271627,0.0182154
1772084351515750627,0.015274
1772084351683750627,0.0218882
1772084352016622627,0.0119872
1772084352083381627,0.0144523
1772084352350504627,0.0179866
1772084352417288627,0.0216188
1772084352617598627,0.0109091
1772084352651001627,0.0124416
1772084352751150627,0.0193466
1772084352817970627,0.0120248
1772084352884660627,0.011897
1772084352918041627,0.0147823
1772084353051631627,0.0164807
1772084353085024627,0.0196604
1772084353285379627,0.0131581
1772084353585776627,0.010955
1772084353619289627,0.0116616
1772084353786145627,0.0104766
1772084353819508627,0.0155026
1772084353886285627,0.011661
1772084354086654627,0.0109557
1772084354220279627,0.0116814
1772084354353780627,0.0114794
1772084354387163627,0.0182904
1772084354487987627,0.0203523
1772084354554169627,0.0115664
1772084354654905627,0.0195898
1772084355021691627,0.0282623
1772084355088299627,0.0143181
1772084355288569627,0.0189868
1772084355321908627,0.0116781
1772084355426194627,0.0144277
1772084355655754627,0.0167856
1772084355689470627,0.0116417
1772084355789315627,0.0123323
1772084355823200627,0.0112858
1772084356089914627,0.0165733
1772084356323515627,0.0120506
1772084356357062627,0.0200916
1772084356457167627,0.0144682
1772084356557327627,0.01225
1772084357124916627,0.0138225
1772084357191652627,0.0110468
1772084357258442627,0.0218913
1772084357358542627,0.0126978
1772084357425422627,0.0235257
1772084357993053627,0.011003
1772084358460428627,0.0213214
1772084358694059627,0.0128136
1772084358827672627,0.0223877
1772084358961182627,0.0135174
1772084359061314627,0.0212664
1772084359361953627,0.0153369
1772084359395195627,0.0136732
1772084359528816627,0.0125079
1772084359562187627,0.014502
1772084359628940627,0.0130328
1772084359729067627,0.012618
1772084359762440627,0.0178553
1772084359896069627,0.0148898
1772084359966809627,0.0125281
1772084360062950627,0.0133526
1772084360163186627,0.0147322
1772084360363444627,0.0150948
1772084360497071627,0.0311953
1772084360530463627,0.0154162
1772084360730821627,0.0141728
1772084360931084627,0.0154718
1772084361098008627,0.0133602
1772084361164817627,0.0127432
1772084361231567627,0.011459
1772084361331708627,0.0115444
1772084361365082627,0.0134402
1772084361498824627,0.026204
1772084361765835627,0.0130798
1772084361832735627,0.0183881
1772084361934490627,0.0153844
1772084362132892627,0.0152589
1772084362533727627,0.0126788
1772084362567090627,0.0135242
1772084362667223627,0.0128041
1772084362700602627,0.014154
1772084362767352627,0.0241174
1772084362967724627,0.0130313
1772084363067846627,0.0133344
1772084363201336627,0.0238324
1772084363268235627,0.0231634
1772084363401711627,0.0121286
1772084363435094627,0.0128687
1772084363568713627,0.0202842
1772084364103293627,0.024065
1772084364136240627,0.0180557
1772084364204423627,0.0149468
1772084364236358627,0.0154584
1772084364303233627,0.0143018
1772084364403372627,0.0170011
1772084364536830627,0.0166443
1772084364603751627,0.0134553
1772084364637106627,0.0172141
1772084364870734627,0.0205655
1772084364938163627,0.025202
1772084365104484627,0.0207951
1772084365171389627,0.0135993
1772084365304869627,0.0136136
1772084365338260627,0.0170559
1772084365571876627,0.0147071
1772084366039388627,0.023318
1772084366273013627,0.0147392
1772084366374316627,0.0148124
1772084366406623627,0.0160294
1772084366540123627,0.0146226
1772084366874007627,0.0189606
1772084367007633627,0.0151503
1772084367208384627,0.013527
1772084367241400627,0.014608
1772084367274679627,0.0138837
1772084367475015627,0.024224
1772084367641879627,0.0141206
1772084367675629627,0.0186669
1772084367842256627,0.0246237
1772084367909016627,0.0144122
1772084367943068627,0.015624
1772084368076969627,0.0219482
1772084368109418627,0.0220144
1772084368176144627,0.0196439
1772084368242910627,0.0201256
1772084368543560627,0.0187372
1772084368778047627,0.0170589
1772084368810517627,0.0167154
1772084368944141627,0.0168094
1772084369177765627,0.0309337
1772084369278012627,0.0266652
1772084369411516627,0.0160558
1772084369444915627,0.0176455
1772084369478282627,0.0169086
1772084370246151627,0.0151919
1772084370479917627,0.016409
1772084370717067627,0.0188692
1772084370847161627,0.0145024
1772084371017048627,0.0139686
1772084371047422627,0.0162228
1772084371080787627,0.0173354
1772084371247793627,0.0157526
1772084371314541627,0.0140111
1772084371514913627,0.0226303
1772084371648414627,0.0177079
1772084371748539627,0.0159211
1772084371781921627,0.0167398
1772084372015667627,0.027285
1772084372115790627,0.014031
1772084372149289627,0.0195126
1772084372416459627,0.0154626
1772084372516559627,0.0175761
1772084372550036627,0.0142582
1772084372650042627,0.0251094
1772084372917190627,0.0207935
1772084373117430627,0.0168578
1772084373150806627,0.0176397
1772084373284437627,0.015449
1772084373384556627,0.0150607
1772084373484670627,0.0248515
1772084373584938627,0.0223737
1772084373618316627,0.013691
1772084373785171627,0.0147218
1772084373952177627,0.0138702
1772084374486419627,0.0154099
1772084374686607627,0.0199591
1772084374788709627,0.0182022
1772084374953811627,0.031748
1772084375020618627,0.016026
1772084375154076627,0.0148934
1772084375254341627,0.0139281
1772084375287596627,0.0140358
1772084376022208627,0.0153475
1772084376088989627,0.0168132
1772084376222474627,0.0224791
1772084376389466627,0.0141241
1772084376522959627,0.0207833
1772084376589699627,0.0140552
1772084376790073627,0.014355
1772084376823475627,0.0140847
1772084376890207627,0.0160489
1772084376990478627,0.0156714
1772084377290954627,0.0144973
1772084377324339627,0.0139409
1772084377357712627,0.01506
1772084377524716627,0.0275765
1772084377591342627,0.0180726
1772084377726986627,0.0174128
1772084377758350627,0.0177387
1772084377958596627,0.025906
1772084378092232627,0.02566
1772084378259087627,0.0189209
1772084378294826627,0.0198981
1772084378459476627,0.0255563
1772084378593331627,0.0149664
1772084378626506627,0.0147132
1772084378693230627,0.0246449
1772084378759980627,0.0151358
1772084378793359627,0.0149663
1772084378926858627,0.0157021
1772084379027118627,0.0143908
1772084379160606627,0.0153774
