timestamp(ns),elapsed(s)
1772084314555943627,0.00816721
1772084314689447627,0.00430692
1772084315223706627,0.00603204
1772084315490702627,0.00505001
1772084315591065627,0.00442489
1772084315624397627,0.00376523
1772084316091702627,0.00423194
1772084316258712627,0.00971816
1772084316358919627,0.00823378
1772084316392211627,0.0062894
1772084316458970627,0.0129385
1772084316525704627,0.00469382
1772084316559093627,0.00406942
1772084316592752627,0.00470687
1772084316659358627,0.00359254
1772084316694838627,0.00586941
1772084316759473627,0.00372881
1772084316828249627,0.0118429
1772084316959867627,0.00918335
1772084317026593627,0.0105182
1772084317093578627,0.00661647
1772084317126721627,0.00657842
1772084317260217627,0.00734497
1772084317327087627,0.00870922
1772084317427259627,0.00587048
1772084317460579627,0.0101689
1772084317660968627,0.00522485
1772084317694339627,0.00606557
1772084317727724627,0.00992769
1772084318094961627,0.00794165
1772084318228454627,0.00972856
1772084318295349627,0.0100924
1772084318462236627,0.0075666
1772084318495599627,0.0104842
1772084318695971627,0.00478162
1772084318764708627,0.00845887
1772084318829474627,0.0102134
1772084318996479627,0.0144329
1772084319129990627,0.00941964
1772084319196727627,0.00599421
1772084319230226627,0.00720718
1772084319263489627,0.0042876
1772084319296856627,0.00626235
1772084319330366627,0.00870259
1772084319397116627,0.00957951
1772084319430464627,0.00633165
1772084319530605627,0.0122643
1772084319597438627,0.00590385
1772084319664097627,0.00606872
1772084319730977627,0.00509012
1772084319764370627,0.00519046
1772084319831123627,0.0106204
1772084320632410627,0.00518493
1772084320665743627,0.00729075
1772084320766012627,0.00982198
1772084320799364627,0.0111122
1772084320932866627,0.00604285
1772084320999619627,0.00520634
1772084321032989627,0.0109183
1772084321066498627,0.0142522
1772084321133242627,0.00940342
1772084321166618627,0.00941203
1772084321333498627,0.00433074
1772084321366892627,0.0045609
1772084321400360627,0.0102212
1772084321467121627,0.0158267
1772084321567245627,0.0135121
1772084321600625627,0.00676568
1772084321634134627,0.0123133
1772084321767615627,0.0170939
1772084321801014627,0.012543
1772084321934495627,0.00633971
1772084322101502627,0.0052431
