timestamp(ns),elapsed(s)
1772084314555943627,0.00113299
1772084314689447627,0.000687647
1772084315223706627,0.00145978
1772084315490702627,0.000585951
1772084315591065627,0.000357538
1772084315624397627,0.000352128
1772084316091702627,0.000583641
1772084316258712627,0.00050669
1772084316358919627,0.000611733
1772084316392211627,0.000969769
1772084316458970627,0.000606401
1772084316525704627,0.000359647
1772084316559093627,0.000280161
1772084316592752627,0.000574812
1772084316659358627,0.0004767
1772084316694838627,0.000723953
1772084316759473627,0.000623207
1772084316828249627,0.00107178
1772084316959867627,0.000985521
1772084317026593627,0.000903991
1772084317093578627,0.000625755
1772084317126721627,0.000889186
1772084317260217627,0.000804618
1772084317327087627,0.000647928
1772084317427259627,0.000653528
1772084317460579627,0.000567873
1772084317660968627,0.000809064
1772084317694339627,0.000573288
1772084317727724627,0.000972373
1772084318094961627,0.000733171
1772084318228454627,0.000686683
1772084318295349627,0.00117348
1772084318462236627,0.00124524
1772084318495599627,0.000997303
1772084318695971627,0.000759204
1772084318764708627,0.000417366
1772084318829474627,0.000759047
1772084318996479627,0.00133553
1772084319129990627,0.000698574
1772084319196727627,0.000305886
1772084319230226627,0.000453858
1772084319263489627,0.000340903
1772084319296856627,0.000553104
1772084319330366627,0.000974447
1772084319397116627,0.00118033
1772084319430464627,0.000391804
1772084319530605627,0.00127836
1772084319597438627,0.00102571
1772084319664097627,0.000527182
1772084319730977627,0.000350155
1772084319764370627,0.000584534
1772084319831123627,0.000671064
1772084320632410627,0.000571172
1772084320665743627,0.00070902
1772084320766012627,0.00100255
1772084320799364627,0.00101481
1772084320932866627,0.000448215
1772084320999619627,0.000813747
1772084321032989627,0.00123794
1772084321066498627,0.00110248
1772084321133242627,0.000536487
1772084321166618627,0.000570231
1772084321333498627,0.000342772
1772084321366892627,0.000340521
1772084321400360627,0.00149385
1772084321467121627,0.00109128
1772084321567245627,0.00108973
1772084321600625627,0.00032463
1772084321634134627,0.00103166
1772084321767615627,0.00107304
1772084321801014627,0.000900334
1772084321934495627,0.000590965
1772084322101502627,0.000651723
1772084322201631627,0.00118565
1772084322268369627,0.000399354
1772084322301756627,0.000464694
1772084322435374627,0.00111505
1772084322969467627,0.000812731
