timestamp(ns),elapsed(s)
1772084314555943627,0.0151448
1772084314689447627,0.00768231
1772084315223706627,0.0151251
1772084315490702627,0.00840175
1772084315591065627,0.00751341
1772084315624397627,0.00797933
1772084316091702627,0.00742042
1772084316258712627,0.0152156
1772084316358919627,0.0131062
1772084316392211627,0.0108133
1772084316458970627,0.020797
1772084316525704627,0.00791111
1772084316559093627,0.00782758
1772084316592752627,0.00845213
1772084316659358627,0.00718915
1772084316694838627,0.00972865
1772084316759473627,0.00729642
1772084316828249627,0.0199634
1772084316959867627,0.0148338
1772084317026593627,0.0171842
1772084317093578627,0.0113506
1772084317126721627,0.0113538
1772084317260217627,0.0130334
1772084317327087627,0.0136186
1772084317427259627,0.0087298
1772084317460579627,0.016492
1772084317660968627,0.0104897
1772084317694339627,0.0114719
1772084317727724627,0.01716
1772084318094961627,0.0136233
1772084318228454627,0.0158851
1772084318295349627,0.0170943
1772084318462236627,0.0151292
1772084318495599627,0.017209
1772084318695971627,0.00921202
1772084318764708627,0.0150343
1772084318829474627,0.0175259
1772084318996479627,0.0256463
1772084319129990627,0.0190495
1772084319196727627,0.0117323
1772084319230226627,0.0108406
1772084319263489627,0.00777287
1772084319296856627,0.00987267
1772084319330366627,0.0134326
1772084319397116627,0.0154708
1772084319430464627,0.00975346
1772084319530605627,0.0181259
1772084319597438627,0.0117277
1772084319664097627,0.0100913
1772084319730977627,0.00869077
1772084319764370627,0.00895307
1772084319831123627,0.0163984
1772084320632410627,0.0119721
1772084320665743627,0.0128893
1772084320766012627,0.0147794
1772084320799364627,0.0177695
1772084320932866627,0.0116802
1772084320999619627,0.00917128
1772084321032989627,0.0171205
1772084321066498627,0.0205066
1772084321133242627,0.0157139
1772084321166618627,0.0131401
1772084321333498627,0.00745272
1772084321366892627,0.0078384
1772084321400360627,0.0167277
1772084321467121627,0.0263861
1772084321567245627,0.0207688
1772084321600625627,0.012414
1772084321634134627,0.0175888
1772084321767615627,0.0269187
1772084321801014627,0.018542
1772084321934495627,0.0105573
1772084322101502627,0.00979952
1772084322201631627,0.0243824
1772084322268369627,0.0144187
1772084322301756627,0.0212886
1772084322435374627,0.0186495
1772084322969467627,0.0108835
1772084323236643627,0.0110585
1772084323503771627,0.0186715
1772084323570514627,0.0125345
1772084323637260627,0.0170383
1772084323770781627,0.0141116
1772084323871033627,0.0166151
1772084323904372627,0.0108335
1772084323937764627,0.0109818
1772084323971136627,0.0148011
1772084324004505627,0.0119378
1772084324038030627,0.0113225
1772084324071289627,0.0126896
1772084324104637627,0.0216227
1772084324238267627,0.0192421
1772084324338395627,0.0174783
1772084324572146627,0.00999063
1772084324772466627,0.0243667
1772084324839280627,0.0160909
1772084324872646627,0.0120365
1772084324906029627,0.0113783
1772084325006150627,0.0231046
1772084325039531627,0.0116441
1772084325273274627,0.0156712
1772084325340022627,0.0215198
1772084325406900627,0.0108848
1772084325440165627,0.0261829
1772084325507030627,0.0117747
1772084325573790627,0.0154083
1772084325640530627,0.0191017
1772084325707275627,0.0191055
1772084325907664627,0.0210504
1772084325941042627,0.0123482
1772084325974414627,0.0178377
1772084326041170627,0.0201628
1772084326675538627,0.0114636
1772084326708931627,0.0115446
1772084326775797627,0.0161176
1772084326809047627,0.00957036
1772084326909295627,0.0103432
1772084326976054627,0.0152486
1772084327009417627,0.0110059
1772084327042806627,0.00999466
1772084327076172627,0.012246
1772084327243173627,0.0222412
1772084327410063627,0.0221345
1772084327476920627,0.0213586
1772084327543549627,0.0168609
1772084327577054627,0.013776
1772084327610426627,0.0125177
1772084327677166627,0.0105778
1772084327743922627,0.0223332
1772084327810797627,0.020921
1772084327877431627,0.0104412
1772084327978195627,0.0229296
1772084328077856627,0.0285529
