timestamp(ns),elapsed(s)
1772084314555943627,2.6558e-05
1772084314689447627,3.345e-06
1772084315223706627,2.245e-06
1772084315490702627,3.009e-06
1772084315591065627,1.649e-06
1772084315624397627,2.218e-06
1772084316091702627,1.572e-06
1772084316258712627,2.284e-06
1772084316358919627,1.756e-06
1772084316392211627,2.936e-06
1772084316458970627,2.879e-06
1772084316525704627,2.339e-06
1772084316559093627,1.451e-06
1772084316592752627,2.438e-06
1772084316659358627,9.041e-06
1772084316694838627,3.419e-06
1772084316759473627,2.398e-06
1772084316828249627,4.146e-06
1772084316959867627,3.319e-06
1772084317026593627,3.432e-06
1772084317093578627,2.911e-06
1772084317126721627,4.418e-06
1772084317260217627,3.208e-06
1772084317327087627,3.218e-06
1772084317427259627,3.036e-06
1772084317460579627,2.351e-06
1772084317660968627,4.493e-06
1772084317694339627,2.456e-06
1772084317727724627,4.377e-06
1772084318094961627,2.815e-06
1772084318228454627,2.931e-06
1772084318295349627,5.114e-06
1772084318462236627,4.775e-06
1772084318495599627,5.295e-06
1772084318695971627,3.445e-06
1772084318764708627,1.959e-06
1772084318829474627,3.432e-06
1772084318996479627,5.395e-06
1772084319129990627,2.62e-06
1772084319196727627,1.916e-06
1772084319230226627,2.057e-06
1772084319263489627,2.053e-06
1772084319296856627,2.163e-06
1772084319330366627,3.906e-06
1772084319397116627,6.252e-06
1772084319430464627,1.506e-06
1772084319530605627,5.059e-06
1772084319597438627,4.475e-06
1772084319664097627,1.936e-06
1772084319730977627,1.518e-06
1772084319764370627,2.501e-06
1772084319831123627,2.448e-06
1772084320632410627,1.565e-06
1772084320665743627,1.907e-06
1772084320766012627,2.431e-06
1772084320799364627,3.848e-06
1772084320932866627,2.248e-06
1772084320999619627,3.6e-06
1772084321032989627,4.754e-06
1772084321066498627,3.859e-06
1772084321133242627,1.777e-06
1772084321166618627,2.77e-06
1772084321333498627,1.1e-06
1772084321366892627,1.135e-06
1772084321400360627,1.3171e-05
1772084321467121627,5.482e-06
1772084321567245627,4.468e-06
1772084321600625627,1.553e-06
1772084321634134627,2.669e-06
1772084321767615627,4.327e-06
1772084321801014627,3.804e-06
1772084321934495627,2.487e-06
1772084322101502627,2.373e-06
1772084322201631627,3.629e-06
1772084322268369627,1.597e-06
1772084322301756627,2.279e-06
1772084322435374627,3.355e-06
1772084322969467627,2.512e-06
1772084323236643627,3.288e-06
1772084323503771627,3.858e-06
1772084323570514627,1.654e-06
1772084323637260627,2.93e-06
1772084323770781627,5.368e-06
1772084323871033627,1.98e-06
1772084323904372627,2.883e-06
1772084323937764627,1.883e-06
1772084323971136627,2.504e-06
1772084324004505627,3.104e-06
1772084324038030627,2.261e-06
1772084324071289627,3.111e-06
1772084324104637627,1.671e-06
1772084324238267627,2.597e-06
1772084324338395627,3.128e-06
1772084324572146627,2.337e-06
1772084324772466627,3.214e-06
1772084324839280627,2.87e-06
1772084324872646627,1.782e-06
1772084324906029627,2.231e-06
1772084325006150627,3.131e-06
1772084325039531627,2.093e-06
1772084325273274627,2.675e-06
1772084325340022627,2.193e-06
1772084325406900627,2.12e-06
1772084325440165627,3.536e-06
1772084325507030627,2.816e-06
1772084325573790627,3.554e-06
1772084325640530627,6.884e-06
1772084325707275627,4.693e-06
1772084325907664627,2.996e-06
1772084325941042627,2.98e-06
1772084325974414627,6.036e-06
1772084326041170627,2.409e-06
1772084326675538627,3.747e-06
1772084326708931627,2.294e-06
1772084326775797627,2.344e-06
1772084326809047627,2.422e-06
1772084326909295627,3.357e-06
1772084326976054627,2.671e-06
1772084327009417627,2.387e-06
1772084327042806627,1.826e-06
1772084327076172627,3.737e-06
1772084327243173627,3.863e-06
1772084327410063627,2.46e-06
1772084327476920627,3.707e-06
1772084327543549627,4.108e-06
1772084327577054627,3.338e-06
1772084327610426627,1.879e-06
1772084327677166627,2.075e-06
1772084327743922627,3.373e-06
1772084327810797627,2.605e-06
1772084327877431627,1.83e-06
1772084327978195627,4.554e-06
1772084328077856627,2.412e-06
1772084328244801627,6.956e-06
1772084328311550627,2.134e-06
1772084328344923627,2.793e-06
1772084328378312627,1.882e-06
1772084328445058627,2.709e-06
1772084328478704627,3.925e-06
1772084328545261627,2.061e-06
1772084328678822627,2.621e-06
1772084328712198627,3.633e-06
1772084328778938627,3.317e-06
1772084328845818627,3.16e-06
1772084328914365627,2.83e-06
1772084329148356627,3.767e-06
1772084329279820627,3.872e-06
1772084329313192627,2.426e-06
1772084329513758627,4.779e-06
1772084329780567627,2.623e-06
1772084329813971627,3.09e-06
1772084329880814627,1.937e-06
1772084330047692627,7.321e-06
1772084330114443627,3.195e-06
1772084330148198627,2.219e-06
1772084330181196627,2.829e-06
1772084330348203627,4.326e-06
1772084330915702627,1.835e-06
1772084331049335627,1.99e-06
1772084331082711627,2.613e-06
1772084331149454627,2.454e-06
1772084331249703627,3.823e-06
1772084331316323627,2.576e-06
1772084331416588627,1.782e-06
1772084331449952627,2.19e-06
1772084331516703627,2.504e-06
1772084331618013627,3.557e-06
1772084331650209627,3.527e-06
1772084331817203627,2.121e-06
1772084331883956627,1.952e-06
1772084331984083627,2.383e-06
1772084332017585627,2.492e-06
1772084332117715627,3.518e-06
1772084332151098627,1.745e-06
1772084332384838627,1.946e-06
1772084332518349627,1.828e-06
1772084332551719627,2.19e-06
1772084332585108627,2.25e-06
1772084332818842627,6.595e-06
1772084333019096627,2.982e-06
1772084333054254627,1.911e-06
1772084333085982627,3.187e-06
1772084333155302627,3.424e-06
1772084333219471627,2.116e-06
1772084333419844627,2.361e-06
1772084333553365627,2.292e-06
1772084333653618627,1.911e-06
1772084333720221627,2.269e-06
1772084333820486627,4.943e-06
1772084333887227627,1.955e-06
1772084333920600627,2.283e-06
1772084334221121627,2.293e-06
1772084334321347627,2.085e-06
1772084334454842627,2.969e-06
1772084334521607627,2.113e-06
1772084334621737627,2.218e-06
1772084334788735627,2.065e-06
1772084334822106627,2.276e-06
1772084334922247627,2.897e-06
1772084334988991627,2.957e-06
1772084335055733627,1.901e-06
1772084335189355627,1.576e-06
1772084335422987627,2.134e-06
1772084335489861627,2.32e-06
1772084335523252627,2.637e-06
1772084335623361627,2.411e-06
1772084335690243627,2.308e-06
1772084335857131627,2.247e-06
1772084335923868627,1.938e-06
1772084336090744627,3.124e-06
1772084336124237627,1.909e-06
1772084336257753627,2.074e-06
1772084336458000627,2.269e-06
1772084336558262627,1.857e-06
1772084336691733627,2.033e-06
1772084336758518627,1.74e-06
1772084336791875627,1.885e-06
1772084336892100627,1.521e-06
1772084336958870627,4.747e-06
1772084337059158627,1.635e-06
1772084337094100627,2.422e-06
1772084337192682627,2.671e-06
1772084337226009627,2.684e-06
1772084337259375627,2.827e-06
1772084337326170627,3.925e-06
1772084337426256627,2.089e-06
1772084337493038627,2.354e-06
1772084337559879627,2.488e-06
1772084337660006627,2.597e-06
1772084337693383627,1.213e-06
1772084337726759627,2.444e-06
1772084337827467627,2.139e-06
1772084337860378627,2.9e-06
1772084337893763627,3.078e-06
1772084337960513627,1.912e-06
1772084338060632627,2.805e-06
1772084338094157627,1.894e-06
1772084338128643627,1.913e-06
1772084338194260627,2.059e-06
1772084338227642627,2.414e-06
1772084338294382627,2.637e-06
1772084338327768627,2.449e-06
1772084338461244627,2.365e-06
1772084338494640627,2.108e-06
1772084338594959627,2.265e-06
1772084338628265627,1.385e-06
1772084338695024627,2.256e-06
1772084338728389627,3.405e-06
1772084338761758627,4.035e-06
1772084338828509627,2.36e-06
1772084338995527627,7.925e-06
1772084339028888627,1.913e-06
1772084339063894627,2.325e-06
1772084339262719627,2.112e-06
1772084339396161627,7.7e-06
1772084339529644627,1.7e-06
1772084340431179627,3.252e-06
1772084340498027627,2.734e-06
1772084340698274627,2.237e-06
1772084340798404627,2.916e-06
1772084340865163627,3.689e-06
1772084341032175627,4.428e-06
1772084341065546627,9.63e-06
1772084341133698627,2.396e-06
1772084341165795627,2.253e-06
1772084341199042627,1.775e-06
1772084341232407627,2.359e-06
1772084341499535627,3.092e-06
1772084341568499627,2.014e-06
1772084341599675627,2.643e-06
1772084341699945627,1.697e-06
1772084341800042627,3.065e-06
1772084342067186627,2.7e-06
1772084342768303627,2.575e-06
1772084342935177627,2.422e-06
1772084343035436627,1.877e-06
1772084343102160627,2.152e-06
1772084343335941627,2.129e-06
1772084343436060627,3.379e-06
1772084343569689627,3.301e-06
1772084343636322627,1.687e-06
1772084343669817627,2.254e-06
1772084343836689627,3.064e-06
1772084343937022627,2.028e-06
1772084344003567627,2.207e-06
1772084344037061627,3.187e-06
1772084344203942627,2.938e-06
1772084344270810627,1.765e-06
1772084344337424627,1.953e-06
1772084344404315627,3.833e-06
1772084344437692627,2.586e-06
1772084344905075627,3.187e-06
