timestamp(ns),elapsed(s)
1772084314555943627,1.4056e-05
1772084314689447627,2.985e-06
1772084315223706627,8.825e-06
1772084315490702627,4.239e-06
1772084315591065627,2.6011e-05
1772084315624397627,3.129e-06
1772084316091702627,2.296e-06
1772084316258712627,5.913e-06
1772084316358919627,4.976e-06
1772084316392211627,3.25e-06
1772084316458970627,7.08e-06
1772084316525704627,1.0625e-05
1772084316559093627,4.064e-06
1772084316592752627,6.569e-06
1772084316659358627,3.725e-06
1772084316694838627,3.472e-06
1772084316759473627,3.518e-06
1772084316828249627,7.792e-06
1772084316959867627,4.186e-06
1772084317026593627,7.02e-06
1772084317093578627,3.766e-06
1772084317126721627,3.943e-06
1772084317260217627,6.434e-06
1772084317327087627,3.672e-06
1772084317427259627,4.914e-06
1772084317460579627,5.301e-06
1772084317660968627,5.752e-06
1772084317694339627,5.743e-06
1772084317727724627,5.97e-06
1772084318094961627,5.537e-06
1772084318228454627,5.723e-06
1772084318295349627,4.66e-06
1772084318462236627,9.323e-06
1772084318495599627,6.95e-06
1772084318695971627,2.826e-06
1772084318764708627,6.484e-06
1772084318829474627,7.318e-06
1772084318996479627,1.0465e-05
1772084319129990627,7.741e-06
1772084319196727627,7.274e-06
1772084319230226627,3.14e-06
1772084319263489627,3.485e-06
1772084319296856627,3.922e-06
1772084319330366627,4.532e-06
1772084319397116627,4.72e-06
1772084319430464627,4.14e-06
1772084319530605627,5.004e-06
1772084319597438627,4.467e-06
1772084319664097627,3.277e-06
1772084319730977627,2.3384e-05
1772084319764370627,3.823e-06
1772084319831123627,4.533e-06
1772084320632410627,6.995e-06
1772084320665743627,5.832e-06
1772084320766012627,1.3429e-05
1772084320799364627,1.0893e-05
1772084320932866627,4.4751e-05
1772084320999619627,3.798e-06
1772084321032989627,5.397e-06
1772084321066498627,6.446e-06
1772084321133242627,6.237e-06
1772084321166618627,5.196e-06
1772084321333498627,5.439e-06
1772084321366892627,2.765e-06
1772084321400360627,7.174e-06
1772084321467121627,7.353e-06
1772084321567245627,5.752e-06
1772084321600625627,1.1541e-05
1772084321634134627,1.0015e-05
1772084321767615627,7.062e-06
1772084321801014627,1.6801e-05
1772084321934495627,1.2215e-05
1772084322101502627,3.276e-06
1772084322201631627,6.172e-06
1772084322268369627,7.27e-06
1772084322301756627,6.277e-06
1772084322435374627,5.018e-06
1772084322969467627,3.897e-06
1772084323236643627,3.575e-06
1772084323503771627,4.815e-06
1772084323570514627,1.0456e-05
1772084323637260627,5.388e-06
1772084323770781627,4.058e-06
1772084323871033627,6.442e-06
1772084323904372627,2.64e-06
1772084323937764627,4.522e-06
1772084323971136627,7.258e-06
1772084324004505627,4.008e-06
1772084324038030627,3.159e-06
1772084324071289627,3.048e-06
1772084324104637627,5.905e-06
1772084324238267627,1.7902e-05
1772084324338395627,9.108e-06
1772084324572146627,3.689e-06
1772084324772466627,1.8406e-05
1772084324839280627,1.2461e-05
1772084324872646627,4.364e-06
1772084324906029627,4.066e-06
1772084325006150627,9.828e-06
1772084325039531627,3.889e-06
1772084325273274627,4.179e-06
1772084325340022627,7.445e-06
1772084325406900627,3.432e-06
1772084325440165627,5.93e-06
1772084325507030627,6.191e-06
1772084325573790627,4.122e-06
1772084325640530627,3.814e-06
1772084325707275627,4.212e-06
1772084325907664627,7.015e-06
1772084325941042627,1.0144e-05
1772084325974414627,3.095e-06
1772084326041170627,8.571e-06
1772084326675538627,4.008e-06
1772084326708931627,4.06e-06
1772084326775797627,4.091e-06
1772084326809047627,3.603e-06
1772084326909295627,3.799e-06
1772084326976054627,6.56e-06
1772084327009417627,5.948e-06
1772084327042806627,4.526e-06
1772084327076172627,3.803e-06
1772084327243173627,1.4612e-05
1772084327410063627,7.741e-06
1772084327476920627,5.26e-06
1772084327543549627,6.862e-06
1772084327577054627,5.45e-06
1772084327610426627,6.149e-06
1772084327677166627,3.241e-06
1772084327743922627,6.166e-06
1772084327810797627,7.472e-06
1772084327877431627,4.207e-06
1772084327978195627,4.937e-06
1772084328077856627,1.9274e-05
1772084328244801627,1.0138e-05
1772084328311550627,3.897e-06
1772084328344923627,3.543e-06
1772084328378312627,1.0961e-05
1772084328445058627,2.1349e-05
1772084328478704627,9.728e-06
