timestamp(ns),elapsed(s)
1772084314555943627,0.00203733
1772084314689447627,0.00184907
1772084315223706627,0.00702766
1772084315490702627,0.00374522
1772084315591065627,0.0018018
1772084315624397627,0.00169979
1772084316091702627,0.00189182
1772084316258712627,0.00530912
1772084316358919627,0.00257313
1772084316392211627,0.00398147
1772084316458970627,0.00553782
1772084316525704627,0.00236454
1772084316559093627,0.00382203
1772084316592752627,0.00358887
1772084316659358627,0.00330641
1772084316694838627,0.0024359
1772084316759473627,0.00436997
1772084316828249627,0.00465505
1772084316959867627,0.0043493
1772084317026593627,0.00436297
1772084317093578627,0.00416803
1772084317126721627,0.00225604
1772084317260217627,0.00381576
1772084317327087627,0.0026978
1772084317427259627,0.00193387
1772084317460579627,0.00373212
1772084317660968627,0.00436859
1772084317694339627,0.0034477
1772084317727724627,0.00448265
1772084318094961627,0.0029558
1772084318228454627,0.0035803
1772084318295349627,0.00281254
1772084318462236627,0.00385938
1772084318495599627,0.00399245
1772084318695971627,0.00223993
1772084318764708627,0.00481699
1772084318829474627,0.00425732
1772084318996479627,0.00534314
1772084319129990627,0.0045914
1772084319196727627,0.00416018
1772084319230226627,0.0016984
1772084319263489627,0.00439313
1772084319296856627,0.00408666
1772084319330366627,0.00266482
1772084319397116627,0.00424352
1772084319430464627,0.00347646
1772084319530605627,0.00280544
1772084319597438627,0.00368726
1772084319664097627,0.00218091
1772084319730977627,0.0017027
1772084319764370627,0.00317074
1772084319831123627,0.00178275
1772084320632410627,0.00346004
1772084320665743627,0.00297973
1772084320766012627,0.001963
1772084320799364627,0.00341917
1772084320932866627,0.00308792
1772084320999619627,0.00246667
1772084321032989627,0.00291702
1772084321066498627,0.00360355
1772084321133242627,0.00421824
1772084321166618627,0.00691809
1772084321333498627,0.00336639
1772084321366892627,0.00226502
1772084321400360627,0.00359816
1772084321467121627,0.00466537
1772084321567245627,0.00317769
1772084321600625627,0.00536387
1772084321634134627,0.00342265
1772084321767615627,0.0030317
1772084321801014627,0.00472823
1772084321934495627,0.00239638
1772084322101502627,0.003467
1772084322201631627,0.00424999
1772084322268369627,0.00536676
1772084322301756627,0.00235605
1772084322435374627,0.00212592
1772084322969467627,0.00292531
1772084323236643627,0.00377709
1772084323503771627,0.00374082
1772084323570514627,0.00296675
1772084323637260627,0.00194086
1772084323770781627,0.00282807
1772084323871033627,0.00452157
1772084323904372627,0.00300902
1772084323937764627,0.00166884
1772084323971136627,0.00282444
1772084324004505627,0.00168361
1772084324038030627,0.00169822
1772084324071289627,0.00142632
1772084324104637627,0.00305183
1772084324238267627,0.00333688
1772084324338395627,0.00463286
1772084324572146627,0.00225523
1772084324772466627,0.00276736
1772084324839280627,0.00491826
1772084324872646627,0.00204558
1772084324906029627,0.00162222
1772084325006150627,0.00570327
1772084325039531627,0.00141632
1772084325273274627,0.00222526
1772084325340022627,0.00433869
1772084325406900627,0.00239577
1772084325440165627,0.00267735
1772084325507030627,0.00445577
1772084325573790627,0.00163023
1772084325640530627,0.00378254
1772084325707275627,0.00267109
1772084325907664627,0.00515035
1772084325941042627,0.00354763
1772084325974414627,0.00145369
1772084326041170627,0.00380953
1772084326675538627,0.00286149
1772084326708931627,0.00237688
1772084326775797627,0.00261904
1772084326809047627,0.0037523
1772084326909295627,0.00187272
1772084326976054627,0.00543393
1772084327009417627,0.00220991
1772084327042806627,0.0026165
1772084327076172627,0.00153708
1772084327243173627,0.00350543
1772084327410063627,0.00546746
1772084327476920627,0.00362918
1772084327543549627,0.00330773
1772084327577054627,0.00341895
1772084327610426627,0.00370013
1772084327677166627,0.0025712
1772084327743922627,0.00385158
1772084327810797627,0.00511141
1772084327877431627,0.00391879
1772084327978195627,0.00247335
1772084328077856627,0.00549783
1772084328244801627,0.00674763
