timestamp(ns),elapsed(s)
1772084314555943627,0.0257695
1772084314689447627,0.00832413
1772084315223706627,0.0255331
1772084315490702627,0.0188804
1772084315591065627,0.00729867
1772084315624397627,0.00706668
1772084316091702627,0.00763173
1772084316258712627,0.022147
1772084316358919627,0.00855193
1772084316392211627,0.0111885
1772084316458970627,0.0210607
1772084316525704627,0.00815209
1772084316559093627,0.0124068
1772084316592752627,0.0089987
1772084316659358627,0.0115633
1772084316694838627,0.00837366
1772084316759473627,0.0153549
1772084316828249627,0.0131682
1772084316959867627,0.0156301
1772084317026593627,0.0146805
1772084317093578627,0.0158812
1772084317126721627,0.00969869
1772084317260217627,0.0154132
1772084317327087627,0.0138873
1772084317427259627,0.00979837
1772084317460579627,0.013855
1772084317660968627,0.0152799
1772084317694339627,0.0107007
1772084317727724627,0.0124429
1772084318094961627,0.00889036
1772084318228454627,0.0101454
1772084318295349627,0.00898563
1772084318462236627,0.0158764
1772084318495599627,0.0157235
1772084318695971627,0.00843208
1772084318764708627,0.016872
1772084318829474627,0.0136595
1772084318996479627,0.0187938
1772084319129990627,0.0198717
1772084319196727627,0.0130686
1772084319230226627,0.00811565
1772084319263489627,0.0164997
1772084319296856627,0.0101492
1772084319330366627,0.0145217
1772084319397116627,0.0142757
1772084319430464627,0.0128755
1772084319530605627,0.0086155
1772084319597438627,0.0168724
1772084319664097627,0.00823899
1772084319730977627,0.00657595
1772084319764370627,0.0100308
1772084319831123627,0.00718072
1772084320632410627,0.0138199
1772084320665743627,0.0123053
1772084320766012627,0.00755946
1772084320799364627,0.0145533
1772084320932866627,0.0159487
1772084320999619627,0.0070776
1772084321032989627,0.0110746
1772084321066498627,0.0143501
1772084321133242627,0.0154931
1772084321166618627,0.0186525
1772084321333498627,0.00983685
1772084321366892627,0.00692908
1772084321400360627,0.0116166
1772084321467121627,0.0151629
1772084321567245627,0.0112189
1772084321600625627,0.0198408
1772084321634134627,0.0112794
1772084321767615627,0.009232
1772084321801014627,0.0191333
1772084321934495627,0.00983256
1772084322101502627,0.00874828
1772084322201631627,0.0128618
1772084322268369627,0.0121453
1772084322301756627,0.0113548
1772084322435374627,0.0073105
1772084322969467627,0.00790175
1772084323236643627,0.0105686
1772084323503771627,0.010882
1772084323570514627,0.0087392
1772084323637260627,0.00794271
1772084323770781627,0.0110521
1772084323871033627,0.0128712
1772084323904372627,0.00870451
1772084323937764627,0.0057883
1772084323971136627,0.00918207
1772084324004505627,0.00583304
1772084324038030627,0.00583473
