timestamp(ns),elapsed(s)
1772084314555943627,0.0141606
1772084314689447627,0.00297313
1772084315223706627,0.00765335
1772084315490702627,0.00730637
1772084315591065627,0.00238419
1772084315624397627,0.00236198
1772084316091702627,0.00310116
1772084316258712627,0.00723498
1772084316358919627,0.00262888
1772084316392211627,0.00308862
1772084316458970627,0.00742607
1772084316525704627,0.00278985
1772084316559093627,0.00423459
1772084316592752627,0.00243874
1772084316659358627,0.0029027
1772084316694838627,0.00269857
1772084316759473627,0.00354862
1772084316828249627,0.00379676
1772084316959867627,0.00498901
1772084317026593627,0.00484298
1772084317093578627,0.00503498
1772084317126721627,0.00303179
1772084317260217627,0.0044151
1772084317327087627,0.00480953
1772084317427259627,0.00344654
1772084317460579627,0.00539144
1772084317660968627,0.00462944
1772084317694339627,0.00358779
1772084317727724627,0.00326903
1772084318094961627,0.00255836
1772084318228454627,0.00289952
1772084318295349627,0.00284663
1772084318462236627,0.00445243
1772084318495599627,0.00528916
1772084318695971627,0.00258527
1772084318764708627,0.00516719
1772084318829474627,0.00390483
1772084318996479627,0.00615015
1772084319129990627,0.00653338
1772084319196727627,0.00419579
1772084319230226627,0.00237804
1772084319263489627,0.0051765
1772084319296856627,0.00256962
1772084319330366627,0.0047543
1772084319397116627,0.00372433
1772084319430464627,0.00392109
1772084319530605627,0.00249303
1772084319597438627,0.00479324
1772084319664097627,0.00256322
1772084319730977627,0.00226512
1772084319764370627,0.002583
1772084319831123627,0.00251073
1772084320632410627,0.00395202
1772084320665743627,0.00373554
1772084320766012627,0.00242902
1772084320799364627,0.00430511
1772084320932866627,0.0048828
1772084320999619627,0.00240068
1772084321032989627,0.00352662
1772084321066498627,0.0041377
1772084321133242627,0.00497493
1772084321166618627,0.00539481
1772084321333498627,0.00247186
1772084321366892627,0.00220784
1772084321400360627,0.00387592
1772084321467121627,0.0054436
1772084321567245627,0.00421966
1772084321600625627,0.00525508
1772084321634134627,0.00345832
1772084321767615627,0.00316122
1772084321801014627,0.0063837
1772084321934495627,0.00293719
1772084322101502627,0.00188506
1772084322201631627,0.00396162
1772084322268369627,0.00324658
1772084322301756627,0.00377238
1772084322435374627,0.00259084
1772084322969467627,0.00245638
1772084323236643627,0.00209335
1772084323503771627,0.00321754
1772084323570514627,0.00226265
1772084323637260627,0.00232719
1772084323770781627,0.00375588
1772084323871033627,0.00414701
1772084323904372627,0.0020772
1772084323937764627,0.00186724
1772084323971136627,0.00304087
1772084324004505627,0.00187209
1772084324038030627,0.00180835
1772084324071289627,0.00175535
1772084324104637627,0.00272724
1772084324238267627,0.00372006
1772084324338395627,0.00425809
1772084324572146627,0.00203347
1772084324772466627,0.00281199
1772084324839280627,0.00367929
1772084324872646627,0.00288466
1772084324906029627,0.00170072
1772084325006150627,0.00478938
1772084325039531627,0.00204673
1772084325273274627,0.00188339
1772084325340022627,0.00360611
1772084325406900627,0.00363837
1772084325440165627,0.00274498
1772084325507030627,0.00437523
1772084325573790627,0.0019872
1772084325640530627,0.00314226
1772084325707275627,0.00230526
1772084325907664627,0.00339807
1772084325941042627,0.00253816
1772084325974414627,0.00223937
1772084326041170627,0.00474506
1772084326675538627,0.00454852
1772084326708931627,0.00298312
1772084326775797627,0.00205159
1772084326809047627,0.00201004
1772084326909295627,0.00220674
1772084326976054627,0.0042486
1772084327009417627,0.00240277
1772084327042806627,0.00250567
1772084327076172627,0.00182143
1772084327243173627,0.00318142
1772084327410063627,0.00371906
1772084327476920627,0.00313799
1772084327543549627,0.00356887
1772084327577054627,0.00334032
1772084327610426627,0.00305296
1772084327677166627,0.00184158
1772084327743922627,0.00323872
1772084327810797627,0.00263187
1772084327877431627,0.00384249
1772084327978195627,0.00255581
1772084328077856627,0.00363321
1772084328244801627,0.00537069
1772084328311550627,0.00240611
1772084328344923627,0.00161272
1772084328378312627,0.00188663
1772084328445058627,0.00176091
