name,mean[s],min[s],max[s],std-dev[s]
backend,4.562e-05,1.123e-06,0.00161285,0.000131149
backend/copy_mesh_delta,0.00137529,8.904e-05,0.00542805,0.000757971
backend/process_factors,3.62506e-06,5.49e-07,0.000190566,9.23349e-06
backend/read_graph,0.0019381,9.5864e-05,0.00680817,0.00130588
backend/sinks,5.23315e-05,2.885e-06,0.00162753,0.000131446
backend/spin,0.00275912,0.000315987,0.0117763,0.00153989
backend/update,0.00197076,9.912e-05,0.00687847,0.00131949
backend/update_2d_places,2.95773e-05,1.496e-06,0.000214395,2.33691e-05
backend/update_objects,0.000674105,8.4704e-05,0.00371546,0.000339757
dsg_updater/update_layers,0.00270118,0.000308669,0.0108246,0.00151257
frontend,2.83779e-06,5.72e-07,2.6558e-05,1.08824e-06
frontend/dgraph_compresssion,0.0105172,0.00185277,0.0287583,0.00434779
frontend/interlayer_edges,0.000889666,1.4218e-05,0.00293856,0.00069593
frontend/launch_callbacks,0.0404396,0.00620377,0.0816752,0.0130211
frontend/merge_graph,0.00162495,9.7581e-05,0.00611553,0.00106061
frontend/mesh_archive,4.28407e-05,9.189e-06,0.00032277,2.28468e-05
frontend/mesh_compression,0.0161958,0.00161914,0.0401072,0.00619444
frontend/mesh_update,0.000333056,4.8793e-05,0.00148509,0.000125284
frontend/objects_detection,0.0151848,0.00317614,0.0448164,0.00472625
frontend/objects_graph_update,0.00240445,0.000205314,0.00887412,0.000948169
frontend/places_2d,0.0149008,0.000231521,0.057023,0.0130364
frontend/postmesh_callbacks,0.0235184,0.00359254,0.0574162,0.00776034
frontend/sinks,0.00245485,0.000280161,0.00733056,0.000959795
frontend/spin,0.0455897,0.00718915,0.0906586,0.0150719
frontend/update_posegraph,7.41673e-06,2.296e-06,0.000206369,1.00711e-05
reconstruction/mesh,0.00487741,0.00131754,0.0104145,0.00177396
reconstruction/spin,0.015301,0.00535992,0.0344612,0.00521172
reconstruction/tsdf,0.00277362,0.00125979,0.0141606,0.0011118
